abstract-quality;['व्यक्तित्व', 'व्यक्तित्त्व'];व्यवहार के समस्त गुणों का नाम ही व्यक्तित्व है-वुडवर्ड
non-physical-collection;['वैष्णव सम्प्रदाय', 'वैष्णव', 'वैष्णव संप्रदाय', 'वैष्णव धर्म', 'vaisnava', 'vaisnavism', 'vishnuism'];Sawar Das vaishnav
non-physical-place;['एल डोराडो', 'el dorado', 'eldorado', 'एल्डोराडो'];दक्षिण अमेरिकी कल्पित कथा
non-physical-place;['कन्या राशि', 'कन्या', 'कन्या वर्जिन'];बारा राशियोमे से एक राशी
non-physical-place;['मीन राशि', 'मत्स्य', 'मीन', 'मीन मछलियों'];राशि - चक्र चिन्ह
organized-collection;['पुस्तकालय', 'médiathèque', 'अनुसंधान पुस्तकालय', 'अनुसंधान पुस्तकालयों', 'पुस्तकालयों', 'संदर्भ पुस्तकालय'];यस कुमार राय
organized-collection;['जीवन सारणी', 'म्र्त्यु सारणी बीमांकिक तालिका', 'जीवन तालिका', 'मृत्यु दर तालिका', 'मृत्यु संख्या - सारणी'];तालिका जो मौता की स्ंभावना द्शारती है
parameter;['प्रतिशत', 'प्रतिशतता', 'pct', 'प्रतिशत है', 'फीसदी', 'सेन्टम प्रति'];"सौ में इतना हिस्सा": अगर मेरे पास किसी परिवर्तनशील x(जैसे की 10 केले ) का y(8 केले) हिस्सा ह तो सौ में से कितना हिस्सा होगा ही प्रतिशत(y/x*100) कहलाता ह .
parameter;['ध्वनि प्रदूषण', 'नोइसे पोल्लुशन', 'शोर प्रदूषण', 'शोर'];किसी भी प्रकार के अनुपयोगी ध्वनियों को कहते हैं, जिससे जीव जन्तुओं को परेशानी होती है
parameter;['वेग', 'औसत चाल', 'तात्क्षणिक वेग', 'रेखीय वेग', 'गति'];दिशाशील गति का रूप
parameter;['संगरोध', 'क्वारंटीन', 'क्वारंटाइन', 'निगरानी'];लोगों और सामानों की आवाजाही पर प्रतिबंध का महामारी संबंधी हस्तक्षेप, जिसका उद्देश्य संक्रामक रोगों और कीटों के प्रसार को रोकना है।
parameter;['जल प्रदूषण', 'नदी में प्रदूषण', 'पानी प्रदूषक', 'भूजल प्रदूषण'];जल प्रदूषण
parameter;['अम्लीय वर्षा', 'अम्ल वर्षा', 'एसिड वर्षा'];वर्षा जो आमतौर पर अम्लीय होती है
parameter;['सहप्रसरण'];दो यादृच्छिक चर की संयुक्त परिवर्तनशीलता का मापन
parameter;['अंतिम गति', 'टर्मिनल वेग'];एक गिरने शरीर एक माध्यम के माध्यम से चलता है
parameter;['esr', 'एरिथ्रोसाइट अवसादन दर', 'sed दर', 'अवसादन दर'];E.s.r
parameter;['प्रकाशानुपात', 'ऐल्बीडो', 'अल्बेडो', 'एल्बीडो', 'ऐलबीडो', 'ऐलबेडो', 'एल्बिडो', 'albedo', 'चिंतनशील शक्ति', 'शुक्लता'];घटना विकिरण के लिए परावर्तित विकिरण का अनुपात
parameter;['अपवर्तनांक', 'अपवर्तक सूचकांक', 'अपवर्तन के सूचकांक', 'अपवर्तन सूचकांक'];जिसका अपवर्तनांक जितना कम होगा प्रकाश की चाल उतनी ही अधिक होगी
parameter;['गोपनीयता'];विशेष प्रकार की सूचना के उपयोग सीमित करने हेतु नियम।
phenomenon;['प्लाज़्मा', 'प्लाज्मा', 'प्लाज्मा भौतिकी', 'गैस ionized', 'प्लाज्मा स्रोत'];द्रव्य की चार मूल अवस्थाओं में से एक अवस्था
phenomenon;['चुंबकीय प्रतिष्टम्भ', 'अनिच्छा', 'चुंबकीय अनिच्छा'];चुंबकीय प्रतिरोध
phenomenon;['आहार ऊर्जा', 'भोजन ऊर्जा'];रासायनिक ऊर्जा जो जानवर ( मनुष्यों को मिलाकर ) भोजन और आणविक ऑक्सीजन से प्राप्त करते हैं, सेलुलर श्वसन की प्रक्रिया के माध्य्म से
phenomenon;['किण्वन', 'इथाइल अल्कोहल का निर्माण', 'किण्वित', 'लैक्टिक अम्ल का निर्माण', 'anaerobic चयापचय', 'fermenting', 'zymolysis'];kinvan ki khoj 1857 me ki
phenomenon;['विद्युत धारा', 'विद्युत वर्तमान तिव्रता', 'धारा', 'प्रवाह', 'विद्युत धाराओं', 'विधुत धारा', 'वैद्युत धारा', 'वर्तमान', 'पारंपरिक वर्तमान', 'बिजली की धाराओं', 'मौजूदा बिजली'];{ आवेश के प्रवाह की दर को विधुत धारा कहते है }
phenomenon;['विद्युत धारा', 'विद्युत वर्तमान तिव्रता', 'धारा', 'प्रवाह', 'विद्युत धाराओं', 'विधुत धारा', 'वैद्युत धारा', 'वर्तमान', 'पारंपरिक वर्तमान', 'बिजली की धाराओं', 'मौजूदा बिजली'];स्केलर भौतिक मात्रा
phenomenon;['स्फुरदीप्ति', 'phosphorescence', 'स्फुरदीप्त'];एक प्रक्रिया जिसमें किसी पदार्थ द्वारा अवशोषित ऊर्जा को प्रकाश के रूप में अपेक्षाकृत धीरे-धीरे जारी किया जाता है
phenomenon;['कपासी बादल', 'कपासी मेघ', 'उच्च कपासी बादल', 'बादल मेघपुंज', 'मेघपुंज', 'मेघपुंज बादलों'];एक प्रकार का बादल
phenomenon;['किण्वन', 'इथाइल अल्कोहल का निर्माण', 'किण्वित', 'लैक्टिक अम्ल का निर्माण', 'anaerobic चयापचय', 'fermenting', 'zymolysis'];kinvan ki khoj 1857 me ki
phenomenon;['व्योम तरंग', 'आकाश लहर्', 'skywave', 'आकाश लहर', 'छोड़'];यह आवृत्तियो की कुछ परासो (3MHz- 3MHz ) के लिए कार्य करती हैं
phenomenon;['आंधी', 'तड़ितझंझा', 'बिजलीयुक्त तूफान', 'गर्ज के साथ तूफान', 'गंभीर गरज़', 'गरज', 'बिजली और वज्रध्वनि के साथ वाली आंधी', 'बिजली की तूफान', 'बिजली तूफान', 'विद्युत तूफान'];एक प्रकार का तूफान
phenomenon;['उल्का बौछार', 'उल्का वर्षा', 'उल्का तूफान', 'उल्का धारा'];आकाशीय घटना
phenomenon;['प्रत्यावर्ती धारा', 'बारी बिजली चालू', 'वर्तमान alternating'];दिष्ट धारा के विपरीत अल्टरनेटिंग करंट
phenomenon;['अर्धसूत्रीविभाजन', 'अर्धसूत्रण', 'मियोसिस', 'अर्धसूत्री विभाजन', 'meiotic', 'कमी विभाजन'];नुवावाँ शिवम मोनू सोनी अमेठी
phenomenon;['गामा किरण', 'गामा विकिरण', 'गामा प्रकाश', 'गामा विकिरिण', 'गामा किरणों', 'गामा क्षय', 'गामा फोटॉन', 'गामा रे'];उच्च शक्ति की द्रव्यमान रहित कणों से बनी किरणें
phenomenon;['६९', '69'];संख्या
phenomenon;['भूकंप', 'भूकम्प', 'भूचाल', 'ज़लज़ले', 'भूकंम्प', 'भूकम्पन घटनाओं', 'moonquake', 'पृथ्वी कंपन', 'भूकंपीय गतिविधि', 'सिस्मीसिटी'];भूकम्प या भूचाल पृथ्वी की सतह के हिलने को कहते हैं
phenomenon;['अपच्छेदन'];एक जीव के विभिन्न अंगों का झड़ना
phenomenon;['मैथुन', 'संभोग', 'सहवास', 'सम्भोग', 'योनि मैथुन', 'संभोग सेक्स', 'सम्भोग्', 'यौन संबंध', 'कामुक ज्ञान', 'मानव यौन व्यवहार', 'शयन', 'सेक्स अधिनियम', 'दया सेक्स', 'मानव यौन गतिविधि', 'योनि संभोग', 'योनि सेक्स', 'यौन कांग्रेस', 'यौन कृत्यों', 'यौन गतिविधियों', 'यौन मुठभेड़', 'रतिक्रिया', 'समागम'];सैक्स, शारीरिक संबंध, आदि।
phenomenon;['नाइट्रोजन चक्र', 'nitrogen cyckle', 'alia', 'नाइट्रोजन चयापचय'];Nitrogen cycle
phenomenon;['कार्बनीकरण', 'carbonisation', 'अथ जलकर कोयला'];कार्बनीकरण कार्बनिक पदार्थ को कार्बन में बदलने के लिए एक शब्द है।
phenomenon;['विभवांतर', 'वोल्टेज', 'विद्युत विभव', 'खिंचाव', 'तनाव', 'पोटेन्शियल डिफरेन्स', 'विभवान्तर', 'वोल्टता', 'बिजली क्षमता', 'coulomb संभावित', 'electrostatic क्षमता', 'voltages', 'बिजली संभावित अंतर', 'संभावित अंतर', 'संभावित ड्रॉप'];विद्युत विभव या विद्युत की क्षमता
phenomenon;['पनबिजली', 'जलशक्ति', 'waterpower'];पानी की आवाजाही के माध्यम से बिजली उत्पादन
phenomenon;['रक्तचाप', 'रक्त दाब', 'रक्तदाब', 'diastolic रक्तचाप', 'धमनी रक्तचाप', 'सिस्टोलिक रक्तचाप'];रक्तवाह का दबाव
phenomenon;['प्रशीतन', 'प्रशीतन की विधियाँ', 'infrigidation', 'प्रशीतित'];एक प्रक्रिया जिसमें नियंत्रित परिस्थितयों में ऊष्म के एक स्थान से दूसरे स्थान भेजा जाता है
phenomenon;['अवक्षेपण', 'precipitates', 'वर्षा'];रासायनिक अवध
phenomenon;['निक्षालन', 'leaching', 'नमकीन पानी'];प्रक्रिया जिसमे मिट्टीके घुलनशील घटक पानी में घुलके मिट्टिके नीचले स्तरों जाते हैं
phenomenon;['विद्युतवाहक बल', 'विद्युत वाहक बल', 'इलेक्ट्रोमोटिव बल', 'एक्ज़िम बैंक का निर्यात विपणन निधि कार्यक्रम', 'विद्युत का दबाव', 'वोल्टेज'];एकांक आवेश को संपूर्ण परिपथ में एक बार प्रवाहित करने के लिए सेल द्वारा ब्यय ऊर्जा को सेल का विद्युत वाहक बल को आते हैं संक्षेप में e
phenomenon;['संवहन', 'संवाहन', 'संवाहन धारा', 'वर्तमान संवहन', 'संवहनी'];किसी तरल पदार्थ (गैस, द्रव या प्लाज्मा) में अणुओं के समग्र स्थानान्तरण द्वारा ऊष्मा का लेन-देन होता है
phenomenon;['ग्रीनहाउस प्रभाव', 'ग्रीन हाउस प्रभाव', 'ग्रीन हाऊस प्रभाव', 'ग्रीनहाउस वार्मिंग'];हरित गृह प्रभाव
physical-body;['बीटा कण', 'बीटा कणों', 'बीटा किरणों'];आयनीकरण विकिरण (आयनाइजिंग रेडिएशन)
physical-body;['गुणसूत्र', 'गुण सूत्र', 'गुणसूत्रों', 'क्रोमोसोम', 'गुण सूत्रों', 'क्रोमोज़ोम'];(डी एन ए) अणु जिसमें कोशिका की आनुवंशिक सामग्री होती है
physical-body;['न्यूट्रॉन', 'नपुंसणु', 'न्यूट्रान', 'मुक्त न्यूट्रॉन'];चार्ज रहित उपपरमाण्विक कण
physical-body;['इलेक्ट्रॉन', 'विद्युद्णु', 'इलेक्ट्रान', 'इलॅक्ट्रॉन', 'इलेक्ट्रानों', 'इलेक्ट्रोन', 'इलैक्ट्रॉन', 'ऍलॅक्ट्रॉन', 'एलेक्ट्रान', 'एलेक्ट्रॉन', 'विद्युदअणु', 'negatron', 'इलेक्ट्रॉनों'];ऋणात्मक वैद्युत आवेश युक्त मूलभूत उपपरमाणविक कण है
physical-body;['पोजीट्रॉन', 'धनाणु', 'पॉज़िट्रान', 'पॉजिट्रॉन', 'antielectron', 'positrons', 'पॉजि़ट्रान', 'पोजीट्रान'];परमाणु में पाया जाने वाला एक मौलिक कण है
physical-body;['ऐस्टेरोपी तारा', 'asterope', 'ऐस्टेरोपी', 'स्टेरोपी', 'स्टेरोपी i', 'स्टेरोपी ii', '२१ टाओरी', '२२ टाओरी', 'अस्टॅरोपी', 'स्टॅरोपी'];ऐस्टेरोपी या स्टेरोपी (स्टेरोपी) वृष तारामंडल में स्थित एक दोहरा तारा है।
physical-body;['पृथ्वी', 'क्षिति', 'क्षोणी', 'जमीन', 'ज़मीन', 'धर्ती', 'भू', 'भूमि', 'भूलोक', 'धरती', 'अवनि', 'वसुंधरा', 'धरा', 'पार्थिव', 'पृथिवी', 'पॄथ्वी'];सौर मंडल मे सूर्य से तीसरे नंबर का ग्रह
physical-body;['वॅस्टा', '4 vesta', '४ वॅस्टा', '४ वेस्टा'];क्षुद्रग्रह
physical-object;['सेंट्रल प्रोसेसिंग यूनिट', 'c.p.u.', 'कंप्यूटर प्रोसेसर', 'केंद्रीय प्रोसेसर', 'प्रोसेसर', 'सीपीयू', 'केंद्रीय प्रक्रमन एकक'];Cpu
physical-object;['डेटा बफर', 'बफर', 'मेमोरी बफर', 'बफर दुकान', 'बफर भंडारण'];एक भौतिक मेमोरी स्टोरेज का क्षेत्र जो अस्थायी रूप से डेटा को स्टोर करने के लिए उपयोग किया जाता है, तब जब इसे एक स्थान से दूसरे स्थान पर ले जाया जा रहा हो।
physical-object;['परिधीय यंत्र', 'परीधीय उपकरण्', 'परिधीय यंत्रों', 'परिधीय', 'peripherals', 'कंप्यूटर peripherals', 'कंप्यूटर परिधीय'];हार्डवेयर डिवाइस जो एक क्ंप्यूटर से जुड़ा है और जो इन्प्ट, आउट्पुट,स्टोरेज या स्ंचार सुविधाएं प्रदान करता है
physical-object;['फ्रेम बफर', 'फ्रेम बफ़र', 'फ्रेम स्टोर', 'फ्रेमबफर', 'फ्रेमस्टोर', 'विडियो बफर', 'स्क्रीन बफर', 'framebuffer'];रैम का एक भाग जिसमें एक बिटमैप है जो एक वीडियो डिस्प्ले को चलाता है
physical-object;['४५', 'पैंतालीस', '45'];संख्या
physical-object;['ःईण्डी', 'houseboats', 'घर नाव', 'तैरनेवाला घर', 'हाउसबोट'];ःईण्डी ळाण्ग्गूआग्गॅ
physical-object;['झूला पुल', 'निलंबन पुलों'];पुल का प्रकार
physical-object;['अस्तबल', 'घुड़साल', 'तबेला', 'अश्वशाला', 'स्थिर', 'घोड़े खलिहान', 'स्टालों'];घोड़ों और अन्य पशुओं के लिए भवन
physical-object;['वेश्यालय', 'चकला घर', 'bordello', 'whorehouse', 'bawdyhouse', 'cathouse', 'खेल के घर', 'गणिकागृह', 'बीमार ख्याति के घर', 'वेश्यालयों', 'वेश्यावृत्ति के घर', 'स्नानागार'];वेश्याओं का कार्यस्थल
physical-object;['अपमार्जक', 'डिटरजेंट', 'डिटरजेन्ट', 'डिटर्जेंट'];एक साबुन के एक surfactant या साथ surfactants का एक मिश्रण है |
physical-object;['वाइड एरिया नेटवर्क', 'वृहद क्षेत्र जालक्रम', 'वान', 'वृहत् क्षेत्र जालक्रम'];एक बड़े भाग या क्षेत्र में उपकरणों को नेटवर्क से जोड़ता है।
physical-object;['कीप', 'क़ीफ़', 'कीफ', 'कीफ़'];एक विस्तृत शीर्ष और संकीर्ण तल वाली नली
physical-object;['समाचार पत्र', 'समाचारपत्र', 'दस्तावेज', 'दस्तावेज़', 'वरक', 'दैनिक समाचार पत्र', 'अखबार', 'करुणाशंकर उपाध्याय', 'के. आर. नारायणन', 'घनश्यामदास बिड़ला पुरस्कार', 'डीपाडीह', 'नैतिक ज़िम्मेदारी', 'रलधू', 'समाचार-पत्र', 'समाचारपत्रों', 'स्वतन्त्रता का कदमताल', 'कागज', 'राष्ट्रीय अखबार', 'शाम कागज', 'शाम कागज था', 'स्थानीय समाचार पत्र'];Samachar patra ki atmakatha
physical-object;['सरल यंत्र', 'सरल मशीन', 'सरल मशीनें'];किसी बल की दिशा और मात्रा को बदलने वाला यंत्र
physical-object;['मोहर', 'सेअल्', 'मुहर', 'अंगूठी', 'शाही मुहर', 'सील'];युक्ति अथ्वा प्रतीक
physical-object;['चुंबक', 'चुम्बक', 'मक़नातीस', 'स्थाई चुम्बक', 'स्थायी चुम्बक', 'घोड़े की नाल चुंबक', 'चुंबकीय सामग्री', 'मैग्नेट', 'स्थायी चुंबक', 'स्थायी मैग्नेट'];एक आकर्षण
physical-object;['प्रदर्शन यंत्र', 'डिस्प्ले युक्ति', 'डिस्प्ले स्क्रीन्', 'डिस्प्ले डिवाइस', 'वीडियो प्रदर्शन', 'प्रदर्शन प्रौद्योगिकी', 'प्रदर्शित करता है'];दृश्य या टेंटाइल प्रपत्र में जानकारी प्रस्तुत करने के लिए आउटपुट डिवाइस
physical-object;['रक्तचापमापी', 'रक्तदाबमापी', 'रक्तचाप कफ'];रक्तचाप मापने का यंत्र
physical-object;['लोटा'];लोटा भारतीय खाना बनाने में इस्तेमाल होनेवाला बर्तन है।
physical-object;['गुम्बज़', 'गुम्बज', 'गुंबद', 'गुंबज', 'गुम्बद', 'गुंबदों', 'तश्तरी गुंबद'];किसी संरचना के ऊपर पोलक- खंड आकारीय उभार
physical-object;['कॉर्वेट', 'कौर्वेट', 'कार्वेट', 'जंगी जहाज़', 'वाहक'];छोटे और हल्के से सशस्त्र युध्द्पोत
physical-object;['doorjamb', 'खम्भे', 'चौखट', 'दरवाजा चौखट'];बहुविकल्पी पृष्ठ
physical-object;['सैन्य अड्डा', 'सैन्य ठिकाना', 'सेना बेस', 'सैन्य आरक्षण', 'सैन्य प्रतिष्ठानों'];एक सुविधा है जो सीधे सेना या इसकी एक शाखा द्वारा संचालित होता है
physical-object;['छाता', 'parasols', 'छत्र'];मौसम से बचने का उपकरण
physical-object;['हस्तकृति', 'artifact', 'कलाकृति', 'विरूपण साक्ष्य'];मानव निर्मित वस्तु जो पुरातात्विक महत्व रखती है
physical-object;['ज़िथर', 'zithern', 'छहतारा', 'जिट्रा'];एक तंतुवाद्य
physical-object;['ड्रम', 'मेम्ब्रानोफोन्', 'ढोल', 'membranophone', 'झिल्ली या पर्दा'];क्मपन से आवाज़ पैधा करनेवाला साधन
physical-object;['कैस्टनीटस', 'खड़ताल', 'उंगली झांझ', 'castanet', 'क्लैपर', 'हड्डियों'];तबला वाध्य
physical-object;['चश्मा', 'ऐनक', 'गलासेज', 'उपनेत्र', 'चश्माधारी', 'सुरक्षा चश्मा'];सहायक उपकरण जो दृष्टि में सुधार करते हैं
physical-object;['झांझ', 'झाँझ'];यह एक वाद्य यन्त्र है।
physical-object;['संयुक्त मौखिक गर्भनिरोधक गोली', 'गर्भनिरोधक गोली', 'जन्म नियंत्रण की गोली', 'anovulant', 'गोली', 'डिंबाक्षरणी दवा', 'मौखिक गर्भ निरोधकों', 'मौखिक गर्भनिरोधक गोली', 'मुखी गर्भरोधक', 'मौखिक गर्भनिरोधक'];जन्म नियंत्रण प्रणाली जिसे मौखिक रूप से लिया जाता है
physical-object;['अग्निशस्त्र', 'लघुशस्त्र', 'छोटे हथियारों', 'छोटे हाथ', 'बन्दूक', 'आग्नेयास्त्रों', 'बंदूक दुकान'];एक व्यक्ति के लिए गन
physical-object;['श्रव्यपुस्तक', 'audiobook', 'audiobooks', 'ऑडियो पुस्तक', 'में बात कर किताब'];श्रव्यपुस्तक वह पुस्तक है जस को सुनकर अर्थात श्रव्य कर सकते है।
physical-object;['पिलास्टर', 'अर्ध-स्तंभ', 'अर्ध स्तंभ', 'कुड्य स्तंभ', 'आयताकार खम्भा', 'pilasters'];परम्परागत स्थापत्य कला का एक वास्तु घटक होता है. जिसका प्रयोग दिखने में एक सहायक स्तंभ की उपस्थिति का कार्य करता था एवं ऊपरी दीवार की सीमा तय करता था।
physical-object;['बंगला', 'कुटिया', 'बँगला', 'कुटीर', 'कॉटेज', 'झोपड़ी', 'बंगले'];भारत में गरीब लोगोंद्वारा बनाए गए घर को कुटिया कहा जाता है. वो किसी सीमेंट या फिर इट से बनाए नहीं जाते. ज्यादातर वो घर लकड़ियों से और सुखी खास से बनाए गए होते है.
physical-object;['कप', 'गिलास', 'प्याला'];खुले कटोरे की तरह, पीने में उप्योग होनेवाला, बहुधा एक हत्था होता है
physical-object;['घड़ी', 'घडी', 'वॉच', 'घड़ियों', 'हाथ घड़ी', 'wristwatches'];हाथ के पहनने के लिए डिज़ाइन किया गया घड़ी
physical-object;['नियन्त्रण छड़ें', 'नियंत्रण छड़', 'नियंत्रण छड़ी', 'नियंत्रण रॉड'];केडमियम की छड़ें नियंत्रक का कार्य करती हैं, जो अतिरिक्त न्यूट्रानों को अवशोषित कर क्रिया की दर को नियंत्रित करती हैं।
physical-object;['बाजार', 'बजार', 'बाज़ार', 'bazar', 'बाजारों'];सार्वजनिक प्रकार का बाजार
physical-object;['पेंट', 'रंग', 'प्रलेप', 'रंगों', 'चित्रित'];पेंट तरल पदार्थ होता है जो एक पतली परत के रूप में विभिन्न वस्तुओं के तल पर चढ़ाया जाता है।
physical-object;['डिफ्रेक्शन ग्रेटिंग', 'विवर्तन झंझरी'];ऑपटिकल अंग जो रोशनी को कई किरणों में बॉंट दे
physical-object;['घूर्णी परिवर्तक', 'रोटरी कनवर्टर', 'तुल्यकालिक कनवर्टर'];रोटरी कन्वर्टर
physical-object;['एयर कंडीशनर', 'वातानुकूलन', 'ए॰ सी॰', 'वातानुकूलक', 'वातानुकूलित', 'एयर कंडीशनिंग'];अधिक अनुकूल परिस्थितियों के लिए हवा के गुणों में फेरबदल की प्रक्रिया
physical-object;['सोलर तेलेस्चोप्र्', 'सौर दूरबीन'];विशेष उद्देश्य दूरबीन सूर्य का पालन करते थे
physical-object;['ट्राँसफार्मर', 'ट्रांसफार्मर', 'ट्रांसफॉर्मर', 'ट्रान्सफार्मर', 'ट्रान्सफॉर्मर', 'परिणामित्र', 'बिजली ट्रांसफार्मर'];विद्युत उपकरण
physical-object;['ट्राँसफार्मर', 'ट्रांसफार्मर', 'ट्रांसफॉर्मर', 'ट्रान्सफार्मर', 'ट्रान्सफॉर्मर', 'परिणामित्र', 'बिजली ट्रांसफार्मर'];विद्युत उपकरण
physical-object;['हार्वर्ड विश्वविद्यालय', 'हार्वर्ड यूनिवर्सिटी', 'हावर्ड यूनिवर्सिटी'];हार्वर्ड विश्वविद्यालय अमेरिका के मैसाचुसैट्स शहर के कैंब्रिज में स्थित एक निजी विश्वविद्यालय है
physical-object;['वायुयान', 'वायुयानों', 'हवाई जहाज़', 'हवाई जहाज़ों', 'विमान', 'फ्लाइंग मशीन', 'फ्लाइंग मशीन था', 'भारी से भी हवा'];ऐसा यान जो हवा में उड़ सकता है।
physical-object;['धूम्र संसूचक', 'normal', 'स्मोक डिटेक्टर', 'धूम्रपान अलार्म', 'धूम्रपान डिटेक्टरों'];उपकरण जो धूम्रपान का पता लगाता है, आमतौर पर आग का एक संकेतक के रूप में
physical-object;['दीवार', 'दीवारों', 'दिवार', 'दिवाल', 'दीवारें'];मकान का महत्वपूर्ण भाग
physical-object;['ट्राँसफार्मर', 'ट्रांसफार्मर', 'ट्रांसफॉर्मर', 'ट्रान्सफार्मर', 'ट्रान्सफॉर्मर', 'परिणामित्र', 'बिजली ट्रांसफार्मर'];विद्युत उपकरण
physical-object;['प्रतिरोधक', 'इलेक्ट्रानिक्स/प्रतिरोधक', 'रोकनेवाला', 'प्रतिरोध', 'प्रतिरोधों', 'बिजली के प्रवाहकत्त्व'];निष्क्रिय विद्युत द्विध्रुव
physical-object;['इग्लू', 'iglu'];बर्फ़ से बना आश्रय
physical-object;['सोनार', 'sónar', 'asdic', 'गूंज जंगली सूअर का बच्चा', 'निष्क्रिय सोनार', 'सक्रिय सोनार', 'सुनार'];Oys7pwtizh
physical-object;['हार्डवेयर', 'कंप्यूटर हार्डवेयर', 'कम्प्यूटर हार्डवेयर'];Computer hardware : the devices we can see
physical-object;['परिदर्शी', 'पेरिस्कोप', 'periscopes'];लाईट के परावर्तन की घटना पर आधारित यंत्र
physical-object;['टीवी', 'दूरदर्शन', 'टेलीविज़न', 'टेलिविजन', 'टेलीविजन', 'टॅलिविज़न', 'टेलिविज़न', 'टेलीवीज़न', 'दुर दर्शन्', 'छोटे परदे', 'टीवी अभिनेत्री', 'टीवी पर', 'टेलिविजन का ब्राडकास्ट कारनेवाला', 'टेलीविजन उद्योग'];टेलेविज़न
physical-object;['दिष्टकारी', 'रेक्टिफायर', 'ऋजुकारी', 'rectifiers'];An electric device Which converts AC into DC
physical-object;['अनुरूप से अंकीय परिवर्तक', 'डिज्ज़िट्ल से एनालौग कन्वतर्', 'ए-डी परिवर्तक', 'एनालॉग से डिजिटल कनवर्टर', 'digitiser', 'digitize', 'digitizer', 'अंकरूपक', 'अंकीयकरण', 'डिजिटिकरण', 'डिजीटल'];प्र्णली जो अनुरुप के सन्केत को बगले, जैसे एक ध्वनि एक माइक्रोपोन से उठाया गया हो या रौश्नी कोई डिजिट्ल कैमरा के भीतर जा रहा हो और एक डिजिट्मल सन्केत बन जाऐ। एक डिजिट्ल स्न्ख्या मे एक भौतिक मात्रा परिवर्तित करने वाला डिवाइस
physical-object;['सिंक्रोट्रॉन', 'सिन्क्रोट्रॉन', 'सिंक्रोटॉन'];एक प्रकार का कण त्वरक है
physical-object;['ट्रांसमीटर', 'ट्रान्समिटर', 'ट्रांसमिटर', 'ट्रांसमीटरों', 'प्रसारण', 'प्रेषित', 'संचारण'];ट्रांसमीटर
physical-object;['गिरजाघर', 'चर्च', 'कलीसा', 'गिरजा', 'कलीसिया', 'गिर्जा', 'गिर्जाघर', 'चर्च के निर्माण'];ईसाई पूजा के लिए धार्मिक इमारत
physical-object;['लालटेन', 'फ़ानूस', 'फानूस'];वहनीय ऊष्मा यंत्र
physical-object;['विद्युत्मापी', 'electrometer', 'विद्युत मापी'];बहुविकल्पी पृष्ठ
physical-object;['प्रतिरोध तापमापी', 'प्रतिरोध थर्मामीटर', 'प्लैटिनम थर्मामीटर', 'प्लैटिनम प्रतिरोध थर्मामीटर'];प्रतिरोध तापमापी
physical-object;['रेडियो', 'radiocommunication', 'रेडियो संचार', 'प्रणाली प्राप्त', 'रेडियो चैनल', 'रेडियो प्रसारण', 'रेडियो प्रौद्योगिकी', 'वायरलेस ऑपरेटर', 'स्थलीय रेडियो'];Distribution of audio content to a dispersed audience via any audio mass communications medium
physical-object;['अश्वनाल', 'धोडे की नाल', 'घोड़े की नाल'];गदे उत्पाद, आमतौर पर धातु से बने होते हे, हालांकि कभी कभी आंशिक रुप से या पुरी तरह से आधुनिक सिंथेतिक सामगीर बनायी जाती हे,जो धोडे की खुर के पहनने से बचने के लिए तेयार कि जाते है। जुते ख्ट्टों की सतह पर लगाए जाते है।
physical-object;['वायु छनित्र', 'air filter', 'हिनदि', 'हवा क्लीनर', 'हवा फिल्टर', 'फिल्टर'];Hiwiki
physical-object;['संग्रह वलय', 'भंडारण की अंगूठी'];एक स्टोरेज रिंग एक प्रकार का गोलाकार कण त्वरक है जिसमें एक निरंतर या स्पंदित कण किरण को आमतौर पर कई घंटों तक घूमते हुए रखा जा सकता है।
physical-object;['साइकिल का पंप', 'साइकिल पंप'];साइकिल के टायर में हवा भरने वाला पंप
physical-object;['गॉगल', 'संरक्षी चश्मा', 'आंख मारना', 'काले चश्मे', 'चश्मे'];सुरक्षात्मक पलकों के रूप जो नाक को नहीं घेरते हैं
physical-object;['गाना बजानेवालों', 'गाना बजानेवालों स्टाल', 'गाना बजानेवालों स्टालों', 'गायकगण'];बहुविकल्पी पृष्ठ
physical-object;['दिष्टकारी', 'रेक्टिफायर', 'ऋजुकारी', 'rectifiers'];An electric device Which converts AC into DC
physical-object;['निकला हुआ किनारा'];बहुविकल्पी पृष्ठ
physical-object;['बसूला', 'बसुला', 'कुल्हाड़ी', 'adzes'];वसुला विश्वकर्मा की औज़ार माना गया है ।जो लोग बढ़ई श्रेणी के अन्तर्गत आते हैं, यह उनका व्यवसाय को करने का औज़ार है ।
plan;['योजना', 'प्रोग्राम', 'प्लैन', 'कार्यक्रम', 'कार्यक्रम प्रबंधक', 'कार्यक्रम प्रबंधन', 'योजनाओं'];लक्ष्य की प्राप्ति के लिए बनाई गई रणनीति की रूपरेखा
political-geographic-object;['फ़्लोरेन्स', 'फ़्लोरेंस', 'फ्लोरेंस', 'फ्लोरेन्स', 'फिरेंज़े'];कोमूने
political-geographic-object;['क्योटो', 'क्योतो'];जापान में स्थित एक शहर
political-geographic-object;['worcester'];उपनाम (Worcester)
political-geographic-object;['दिल्ली', 'पुरानी दिल्ली', 'delhi', 'दिल्ली शहर', 'दिल्\u200dली', 'नयी दिल्ली', 'भारत की राजधानी', 'शाहजहानाबाद', 'shahjahanbad'];दिल्ली की राजधानी क्या है
