activity;['go', 'baduk', 'go-spelare', 'gote', 'hane', 'sten', 'wei-chi', 'weiqi', '⚆', '⚇', '⚈', '⚉', 'go spel'];Ett brädspel som ursprungligen kom från Kina.
non-agentive-physical-object;['hall', 'korridor', 'hallen', 'samlingslokal'];En smal hall eller passage med rum angränsar till densamma.
non-agentive-physical-object;['väg', 'bilväg', 'landsväg', 'vägar', 'vägbeläggning', 'vägtrafik', 'landsvägar', 'landsvägstrafik', 'tvåfältsväg', 'gångbanan', 'vägbyggen', 'vägen'];Ett långt avsnitt hård mark som människor kan använda för att köra från en plats till en annan.
non-agentive-physical-object;['vispad grädde', 'chantilly grädde', 'vispad toppning'];Tjock grädde som har blivit luftfylld genom snabb vispning.
non-agentive-physical-object;['krage', 'berthe', 'kragsnibb', 'kragar', 'skjortkrage', 'vinge krage'];Den del av ett plagg som omger halsen.
non-agentive-physical-object;['krucifix', 'triumfkrucifix', 'triumfkors', 'triumfkrucifixet', 'crucifix', 'krucifixet', 'rood', 'rood-tree'];En dekorativ eller symbolisk representation av Kristus på korset.
non-agentive-physical-object;['kanal', 'dräneringskanal', 'kanaler'];En konstgjord öppen vattenled som används för transport, vattenkraft eller bevattning.
non-agentive-physical-object;['hatt', 'mössa', 'hattar', 'chapeau', 'puggaree'];Ett klädesplagg avsett att täcka huvudet som är tillverkat av ett material fast nog för att ha en form oberoende av skallen, och som vanligen har ett brätte.
non-agentive-physical-object;['tärning', 'tärningar', 'rollspelstärning', 'rollspelstärningar', 'tärningsslag', 'tärningsspel', '⚀', '⚁', '⚂', '⚃', '⚄', '⚅', 'd20', 'fyrsidig tärning', 'sexsidig tärning', 't10', 't12', 't20', 't8', 'tiosidig tärning', 'tjugosidig tärning', 'tolvsidig tärning', 'åttasidig tärning', 'dice', 'laddade tärningar', 'polyedriska tärningar'];Ett föremål med flera (oftast 6) sidor, var och en med olika värde, som används i många spel för att slumpmässigt välja ut ett nummer.
non-physical-collection;['historia', 'historien'];Det vetenskapliga studiet av skeenden från ett tidsmässigt perspektiv samt förmedlandet av kunskap erhållen genom detta studie utbildningssyfte.
non-physical-collection;['idé', 'tanke', 'fundering', 'tanken'];En plan eller uppfattning som formas och existerar i sinnet som ett resultat av mental aktivitet.
non-physical-collection;['hjärta'];Det upplevda centret för känslor.
organized-collection;['bibliotek', 'allmänt bibliotek', 'bibbla', 'bibblan', 'biblioteket', 'biblioteksväsen', 'biblotek', 'boksamlare', 'boksamling', 'det akademiska biblioteket', 'digitalt bibliotek', 'folkhögskolebibliotek', 'gymnasiebibliotek', 'högskolebibliotek', 'stadsbibliotek', 'stadsbiblioteket', 'universitetsbibliotek', 'universitetsbiblioteket', 'forskningsbibliotek', 'mediatheque'];En plats där böcker och andra litterära verk förvaras.
organized-collection;['konvoj', 'konvojer'];En grupp av fordon eller fartyg som färdas i formation för ömsesidig understöd, som att motstå anfall av en fiende.
organized-collection;['tabell', 'tabeller', 'tabellform', 'tabellform array'];En systematisk uppställning av data, vanligen i rader och kolumner.
parameter;['intervall', 'tidsintervall', 'lucka'];En tidsperiod då något är tillgängligt.
parameter;['storleksordning', 'biljon', '1000000000000', 'en storleksordning', 'storleksordningar'];1.000.000.000.000
parameter;['sänkningsreaktion', 'sänka', 'myntrullebildning', 'sr', 'sed ränta', 'sänkan'];Ett medicinskt test i vilket hastigheten med vilken de röda blodkropparna sjunker till botten i ett provrör mäts.
phenomenon;['ljus', 'ljuskälla', 'synligt ljus', 'ljuset', 'ljusreflektion', 'ljusvåg', 'ljusvågor', 'synlig strålning'];Vadsomhelst, både naturligt och konstgjort, som producerar ljus.
phenomenon;['rök', 'gaser'];En aerosol som består av synliga partiklar och gaser och som skapas av den ofullständiga förbränningen av kolbaserade material, som trä och fossila bränslen.
phenomenon;['värme', 'termisk energi', 'termisk rörelse', 'värmeenergin', 'värmemängd', 'värmet', 'värmeenergi'];En form av energi som överförs genom temperaturskillnad: den är lika med summan av kinetisk energi hos atomerna eller molekylerna i ett system.
phenomenon;['solstråle'];En smal stråle av solljus.
phenomenon;['homosexualitet', 'homosexuell', 'homoerotik', 'homosexuella', 'bög', 'bögig', 'bögklubb', 'bögsex', 'gay', 'gayklubb', 'gays', 'homo sexuell', 'homoerotisk', 'homofil', 'homofili', 'homosexuallitet', 'lebb', 'lesb', 'lesbianism', '⚢', '⚣', 'gayness', 'homoerotiska', 'homosexualism', 'samkönade', 'samma kön', 'samma kön attraktion'];En person som är sexuellt attraherad enbart eller huvudsakligen till andra medlemmar av samma kön.
phenomenon;['homosexualitet', 'homosexuell', 'homoerotik', 'homosexuella', 'bög', 'bögig', 'bögklubb', 'bögsex', 'gay', 'gayklubb', 'gays', 'homo sexuell', 'homoerotisk', 'homofil', 'homofili', 'homosexuallitet', 'lebb', 'lesb', 'lesbianism', '⚢', '⚣', 'gayness', 'homoerotiska', 'homosexualism', 'samkönade', 'samma kön', 'samma kön attraktion'];Den sexuella läggning som kännetecknas av en romantisk eller sexuell dragning till människor av samma kön.
phenomenon;['tupplur', '40 blinkningar', 'katt sömn', 'kort sömn', 'snooze'];En kort sömnperiod, i synnerhet under dagtid.
phenomenon;['dimma', 'dis'];Små vattendroppar hänger i luften och minskar sikten. Bildas vanligen under klara nätter när temperaturen faller. Om sikten blir mindre än 1000 meter kallas det i stället för dimma.
phenomenon;['lågtryck', 'cyklon', 'lågtryckssystem', 'lågt lufttryck', 'lågt tryck', 'lågtrycksområde', 'område med lågt tryck', 'vädersystem'];Ett område med lägre lufttryck som vanligen medför fuktig väderlek.
phenomenon;['dimma', 'dis', 'dimbank', 'mark dimma'];Vattendroppar eller i sällsynta fall iskristaller som hänger i luften i tillräcklig mängd för att märkbart reducera sikten.
phenomenon;['ammonisering', 'ammonifikation'];Tillförsel av ammoniak eller ammoniakföreningar, i synnerhet till jordmån.
phenomenon;['snö', 'snöfall', 'snön', 'diamantstoft', 'isnål', 'isnålar', 'kornsnö', 'lappmögel', 'slaskar', 'snöby', 'snödriva', 'snöflinga', 'snöoväder', 'snöslask', 'snöstjärna', '❄', '❅', '❆', 'snötäcke'];Den vanligaste formen av frusen nederbörd, vanligen i form av flingor eller stjärnlika kristaller, sammanklumpade isnålar, eller kombinationer av dessa och ofta täckta av rimfrost.
phenomenon;['hagel', 'ishagel', 'iskorn', 'småhagel', 'hagelstormar'];Nederbörd i form av kulor eller oregelbundna klumpar av is, vilka alltid produceras av konvektiva moln, nästan alltid cumulonimbus.
phenomenon;['nederbörd', 'nederbörden', 'hydrometeor'];Utkristalliseringen av vatten från moln i form av regn, hagel, snö med mera.
phenomenon;['liv', 'livet', 'biota', 'livets villkor'];Den egenskap som skiljer en vital och fungerande växt eller djur från en död kropp.
phenomenon;['förlossning', 'vaginal förlossning', 'barnafödsel', 'barns-börd', 'föda barn', 'födande', 'född', 'födelse', 'födsel', 'förlossningar', 'partus', 'segerhuva', 'sätesbjudning', 'teckenblödning', 'barnafödande', 'accouchement'];Händelsen att ett barn blir fött eller handlingen att föda fram ett barn, som slutpunkten på en graviditet.
phenomenon;['eld', 'låga', 'flamma', 'brand', 'bränder', 'flammande'];Det tillstånd av förbränning i vilket brännbart material brinner och skapar hetta, lågor och ofta rök.
phenomenon;['förlossning', 'födelse', 'barnafödsel', 'födsel', 'nedkomst', 'födda', 'födelseprocess', 'förlossningen'];Händelsen att ett barn blir fött eller handlingen att föda fram ett barn, som slutpunkten på en graviditet.
phenomenon;['regn', 'regnvatten', 'duggregn', 'hällregn', 'regndroppe', 'regnskur', 'regnskurar', 'ösregn', '⛆', 'regn storm', 'regnet', 'regnstorm'];Vatten som faller som regn från moln.
phenomenon;['regn', 'regnvatten', 'duggregn', 'hällregn', 'regndroppe', 'regnskur', 'regnskurar', 'ösregn', '⛆', 'regn storm', 'regnet', 'regnstorm'];Nederbörd i form av flytande vattendroppar med en diameter på över 0,5 mm.
physical-body;['sten'];En generell term för bergarter när dessa används för byggnadsändamål, antingen krossat för användning som komponent eller uppdelad i formade block.
physical-body;['månen', 'måne', 'luna', 'månmagi', '☽', '☾'];Jordens enda naturliga satellit.
physical-body;['sol'];Vilken stjärna som helst, i synnerhet när den betraktas som centrum i ett solsystem.
physical-body;['fixstjärna', 'sol', 'fixstjärnor', 'fixstjärnorna', 'fasta stjärnor'];Vilken stjärna som helst, i synnerhet när den betraktas som centrum i ett solsystem.
physical-object;['pub', 'bar', 'krog', 'pubar', 'gin mill', 'gästgivargård', 'land inn', 'offentliga hus', 'pub grub', 'pub mat', 'pub tecken', 'public house', 'taphouse', 'ölsjapp'];Ett företag med licens att sälja berusande drycker för konsumtion på stället, eller själva lokalen.
physical-object;['fönster', 'datorfönster'];En rektangulär eller annorlunda formad yta på en datorterminal eller skärm som innehåller någon sorts användargränssnitt, som visar utmatningen av och tillåter inmatning för en av ett antal samtidigt pågående datorprocesser.
physical-object;['schackpjäs', 'schackspelpjäs', 'schackpjäser', 'lätt pjäs', 'lätta pjäser', 'pjäser i schack', 'schackspelpjäser', 'spelpjäser i schack', 'tung pjäs', 'tunga pjäser'];En spelpjäs som används för att spela schack.
physical-object;['bil', 'auto', 'automobil', 'automobil vagn', 'automobilvagn', 'kärra', 'motorvagn', 'vagn', 'automobilisering', 'bilens', 'bilindustri', 'bilism', 'bilist', 'bilmotor', 'biltrafik', 'bilar', 'bilen', 'personbil'];Ett fyrhjuligt motorfordon för landtransport.
physical-object;['koskälla', 'skälla', 'kobjällra', 'cowbell', 'ko klocka'];En liten kläppförsedd klocka, vanligen av plåt eller trä, i synnerhet sådan som fästes runt hals på ko eller annat husdjur för att underlätta lokalisering av djuret i fråga.
physical-object;['nappflaska'];En behållare med en dinapp av gummi som används för att ge spädbarn vätska.
physical-object;['trumpet', 'kornett', 'trumpetare', 'strut', 'mungiga', 'jazz trumpetare'];Musiker som spelar trumpet.
physical-object;['pensel', 'målarpensel', 'hornsugga', 'penslar', 'schablonpensel', 'anstrykare', 'elementpensel', 'moddlare', 'stöpplare'];En mindre pensel som används för att måla konstverk.
physical-object;['stall', 'häststall', 'ladugård', 'kostall', 'djurstall', 'stallskötsel', 'byggnad för nötkreatur', 'fjös', 'fähus', 'hus för boskap', 'lagård', 'stabil', 'häst barn'];En byggnad, vanligen med spiltor, som används för att hysa och utfodra hästar, boskap eller andra djur.
physical-object;['slakteri', 'slakthus', 'slaktdjur', 'slakteriet', 'abbatoir', 'slakt', 'slakterier'];En plats där djur slaktas för att användas som mat.
physical-object;['fängelse', 'anstalt', 'fängelser', 'kriminalvårdsanstalt', 'fängsla', 'fängelsen', 'fängelsestraff', 'fängelset', 'fängslad', 'fångvårdsanstalt', 'sluten anstalt', 'fängelsesystemet', 'länet fängelse', 'medelhög säkerhet', 'minsta säkerhet'];En plats där individer har begränsad personlig frihet.
physical-object;['skottkärra', 'rullebör', 'rullebår', 'gräsmatta kundvagn', 'trädgård varukorg'];Liten vagn med ett hjul (i sällsynta fall två) med vilken man kan transportera tunga laster vid byggplatser eller i trädgården och som man normalt skjuter framför sig.
physical-object;['salva', 'enhet av ammunition', 'ett skott'];Den mängd laddning av ammunition som krävs för ett skott.
physical-object;['löpare', '♗', '♝', 'biskop'];En schackpjäs som kan flyttas endast diagonalt.
physical-object;['springare', 'häst', '♘', '♞', 'riddare'];En spelpjäs i schack som ofta är formad som ett hästhuvud.
physical-object;['fåll', 'fållar', 'fållning'];En vikt och sydd tygkant på klädesplagg.
physical-object;['päls', 'körsnär', 'pälsberedning', 'pälsrock', 'päls kläder', 'pälsar'];En person som säljer, tillverkar, reparerar, ändrar, rengör eller på något annat sätt handlar med kläder tillverkade av päls.
physical-object;['päls', 'körsnär', 'pälsberedning', 'pälsrock', 'päls kläder', 'pälsar'];En rock tillverkad av pälsen från ett djur.
physical-object;['sax', 'saxtillverkning', 'skräddarsax', '✂', '✄', 'lista över saxliknande redskap', 'sisare'];Ett verktyg som används för att skära ett tunt material, bestående av två skärblad möts, förenade genom en svängtapp så att bladen glider på varandra, när handtagen är stängda.
physical-object;['svärd', 'hjalt', 'klinga'];Ett vapen med långt blad och (ett handtag och ibland) en parerstång som är avsett att sticka, skära eller hugga.
physical-object;['tidning', 'dagstidning', 'artikel', 'tidningspapper', 'tidningar', 'tidningen', 'familjesidor', 'folkblad', 'förstasida', 'lokaltidning', 'notis', 'nyhetstidning', 'populärpress', 'posttidning', 'press', 'pressen', 'redaktionsruta', 'tidningsman', 'en dagstidning', 'kvällstidning', 'papper', 'rikstidning'];En publikation (vanligen publicerad dagligen eller en gång per vecka och tryckt på billigt papper av låg kvalitet) som innehåller nyheter och andra artiklar.
physical-object;['tandprotes', 'löständer', 'protes', 'proteser'];En partiell eller fullständig uppsättning konstgjorda tänder för antingen över- eller underkäken.
physical-object;['museum', 'museer', 'museet', 'muséum', 'flygmuseum', 'fornsakssamling', 'fornsamling', 'krigsmuseum', 'lista över museer', 'museal', 'museichef', 'museiman', 'skolmuseum', 'arkeologiskt museum'];En plats eller byggnad där föremål av historiskt, konstnärligt eller vetenskapligt värde ställs ut, bevaras eller studeras.
physical-object;['tändare', 'lampa', 'cigarettändare', 'engångständare', 'lättare', 'pyroteknisk initiator'];En anordning för att producera ljus.
physical-object;['fönster', 'fönsternisch', 'fönsterruta', 'fönstersmyg', '⊞', 'byggnadsglas', 'energiglas', 'energisparglas', 'fyrluftsfönster', 'fönsteraxel', 'fönsteraxlar', 'fönsterband', 'fönsterbåge', 'fönsterglas', 'fönsterrad', 'fönsterrader', 'lågenergiglas', 'planglas', 'solskyddsglas', 'tvåluftsfönster', 'fönstret'];En öppning, vanligen täckt av en eller flera genomskinliga glasskivor, för att låta ljus utifrån komma in i en byggnad eller ett fordon.
physical-object;['brudklänning', 'bröllopsklänning', 'brudklänningar', 'bröllopsklänningar'];Klädedräkt som bärs av bruden under en bröllopsceremoni. traditionellt vit i västerländsk kultur.
physical-object;['handgranat', 'granat', 'granater', 'handgranater', 'hjärnskakning granat'];En liten handhållen bomb som är avsedd att kastas med handkraft eller att avfyras från en granatkastare.
physical-object;['hammare', 'krysshammare', 'smideshammare', 'draghammare', 'knoster', 'maskinhammare', 'pikhammare', 'slägga'];Ett redskap med ett tungt huvud och ett handtag som används för att slå.
physical-object;['mobiltelefon', 'mobil', 'yuppienalle', 'nalle', 'mobiltelefoner', 'cellulära kommunikationssystem', 'mobil kommunikation', 'mobila cellulära', 'trådlös telefon'];En bärbar elektronisk apparat, som används för att göra telefonsamtal.
physical-object;['ryggsåg', 'backsaw', 'tillbaka såg'];En styv handsåg som används för att såga raka linjer.
physical-object;['ratt', 'rattmuff', 'högerstyrd', 'vänsterstyrd', 'vänsterstyrning', 'hjulet'];Ett cirkelrunt föremål som används för att styra vissa typer av fordon.
physical-object;['vårdcentral', 'klinik', 'lasarett', 'sjukhus', 'familjeläkarmottagning', 'husläkarmottagning', 'hälsocentral', 'kliniker', 'medicinsk klinik'];En plats där människor som är sjuka eller skadade behandlas och vårdas av läkare och sjuksköterskor.
physical-object;['sjukhus', 'lasarett', 'medicinklinik', 'storsjukhus', 'sjukstuga', 'distrikt allmänna sjukhus', 'distrikt allmänt sjukhus', 'distriktets sjukhus', 'sjukstugan'];En plats där människor som är sjuka eller skadade behandlas och vårdas av läkare och sjuksköterskor.
physical-object;['kanyl', 'nål', 'injektionsspruta', 'uppdragsampull', 'uppdragskanyl', 'uppdragskanyler', 'injektionssprutor', 'kanyler', 'injektionsnål'];En ihåligt, tunt och vanligen vasst redskap som används för att injicera eller extrahera vätskor från en person eller ett djur.
physical-object;['lampa', 'elektrisk lampa'];En anordning för att producera ljus.
physical-object;['slott', 'borg', 'fästning', 'befästning', 'borgar', 'riddarborg', 'riksborg', 'medeltida slott'];Historisk byggnad eller grupp av byggnader som användes av militära styrkor för att försvara sig och vars huvudsakliga delar är murar och torn.
physical-object;['not', 'vad', 'seine netto'];Ett fiskeredskap bestående av nät med små maskor, som drages genom vattnet mot land eller mot en båt.
physical-object;['baklucka'];Utrymme för att förvara bagage i en bil.
physical-object;['diskmaskin', 'diskmaskiner'];En maskin för att automatiskt rengöra disk och köksredskap.
physical-object;['butik', 'affär', 'kiosk', 'magasin', 'butiken'];En plats, i synnerhet en mindre byggnad, för försäljning av varor och tjänster.
physical-object;['ögonlock', 'palpebra', 'palpebral', 'ögonlocken', 'ögonlocket'];En hudflik som kan slutas över ett öga.
physical-object;['glasögon', 'brillor', 'glasögonbågar', 'glasögonbåge', 'skalm', 'glasögonprydd', 'läsglasögon', 'skyddsglasögon', 'specifikationer'];Ett par linser in en infattning som bärs framför ögonen och som används antingen för att korrigera synfel eller för att skydda ögonen.
physical-object;['cymbal', 'bäcken', 'cymbaler', 'craschcymbal', 'crash', 'crashcymbal', 'ridecymbal', 'splash-cymbal', 'splashcymbal'];En konkav platta av mässing eller brons som skapar ett skarp, klingande ljud vid anslag.
physical-object;['xylofon', 'marimba', 'gyil', 'marimbas', 'xylofoner'];Musikinstrument bestående av träribbor var och en formad för att ge ifrån sig en given ton när den anslås.
physical-object;['bostad', 'hem', 'flotten, hemmet och sandlådan', 'hus', 'barndomshem', 'bostadshus', 'bostäder', 'privatbostad', 'bostäder i sverige', 'platsen', 'privat bostad'];En människas hem, dess boning.
physical-object;['bostad', 'hem', 'flotten, hemmet och sandlådan', 'hus', 'barndomshem', 'bostadshus', 'bostäder', 'privatbostad', 'bostäder i sverige', 'platsen', 'privat bostad'];Ens egen bostad. det hus eller konstruktion i vilken man bor. i synnherhet det i hus vilket man bor med sin familj.
physical-object;['fängelse', 'jailhouse', 'pokey', 'poky'];En plats där individer har begränsad personlig frihet.
physical-object;['skola', 'skolan', 'skolhus'];En institution eller byggnad där barn och ungdomar får utbildning.
physical-object;['hiss', 'hissen', 'hisschakt', 'kedjedriven hiss', 'klämrisk'];En mekanisk apparat som består av en plattform som kan flyttas vertikalt upp och ner och som används för att frakta folk och last mellan våningarna i en byggnad.
physical-object;['kosmetika', 'skönhetsmedel', 'kosmetik', 'kosmetiska'];Ett preparat som ett puder eller en hudkräm avsedd att försköna kroppen genom direkt applikation.
physical-object;['pussel'];Ett spel där en person eller en grupp av personer skall återskapa en bild som har skurits till en mängd bitar som passar ihop.
physical-object;['badkar', 'kar', 'karbad', 'karbadhus', 'bad badkar', 'badkaret', 'washtub'];En tunna eller kar som används för att bada.
physical-object;['kök', 'köket', 'kokvrå', 'pentry', 'öppet kök'];Ett rum utrustat för tillagning av mat.
physical-object;['toalett', 'dass', 'wc', 'lav'];Ett rum som innehåller åtminstone en sanitär inrättning, som ett badkar, en dusch, ett tvättställ eller en toalett.
physical-object;['lager', 'förråd', 'grovkök'];Byggnad eller rum som används för att förvara ett företags lagrade varor - lager, både sådana avsedda för direkt försäljning och sådana som är råvaror för vidare tillverkning.
physical-object;['våning', 'våningsplan', 'nivå', 'plan', 'bottenplan', 'bottenvåning', 'entréplan', 'entrévåning', 'etage', 'våningar', 'berättelse', 'golv numrering', 'våningen'];En nivå, vanligen bestående av flera rum, mestadels använt om sådan i en byggnad som består av flera sådan nivåer.
physical-object;['sovrum', 'cubiculum', 'sängkammare', 'sovrummet', 'vardags-/sovrum', 'övernattning'];Ett rum i ett hus (som det vanligtvis finns åtminstone en säng och en garderob i) där en person sover.
physical-object;['bar', 'barlokal', 'pub', 'barroom', 'ginmill', 'salong djurhållare', 'taproom'];Ett företag med licens att sälja berusande drycker för konsumtion på stället, eller själva lokalen.
physical-object;['bark', 'barkskepp', 'tremastad bark'];Ett segelskepp med tre eller flera master där den aktersta masten är gaffelriggad och resten av masterna råriggade.
physical-object;['bensinstation', 'bensinmack', 'mack', 'bensintapp', '⛽', 'bensinstationer', 'bränslepåfyllning station', 'tankstationer'];En plats som säljer bensin för direkt pumpning in i en bil eller en godkänd behållare.
physical-object;['black', 'boja'];Ett träblock, som användes för att hindra hästar och fångar från att rymma
physical-object;['bäcken', 'bäckenskål'];En liten ganska platt skål som används inom t ex sjukvården för att uppsamla urin hos sängliggande.
physical-object;['nål', 'kanyl'];En ihåligt, tunt och vanligen vasst redskap som används för att injicera eller extrahera vätskor från en person eller ett djur.
physical-object;['tankfartyg', 'oljetanker', 'tanker', 'oljetankfartyg', 'produkttankfartyg', 'kemikalietanker', 'kemikalietankmotorskepp', 'produkttanker', 'supertank', 'supertanker', 't/t', 'tankbåt', 'tankerfartyg', 'turbintankfartyg', 'antenn tankning', 'i lufttankning', 'inflight tanka', 'luft-till-luft tankning', 'petroleum tankfartyg', 'råoljetankfartyg', 'sond och drivankare', 'sonden och påfyllningsanordningen', 'supertankers', 'tank fartyg', 'tankfartyg flygplan', 'very large crude carrier'];Ett fartyg för transport av vätskor eller gaser.
physical-object;['tankfartyg', 'oljetanker', 'tanker', 'oljetankfartyg', 'produkttankfartyg', 'kemikalietanker', 'kemikalietankmotorskepp', 'produkttanker', 'supertank', 'supertanker', 't/t', 'tankbåt', 'tankerfartyg', 'turbintankfartyg', 'antenn tankning', 'i lufttankning', 'inflight tanka', 'luft-till-luft tankning', 'petroleum tankfartyg', 'råoljetankfartyg', 'sond och drivankare', 'sonden och påfyllningsanordningen', 'supertankers', 'tank fartyg', 'tankfartyg flygplan', 'very large crude carrier'];Ett mycket stort skepp som fraktar råolja eller andra petroleumprodukter i stora tankar.
physical-object;['blomsteraffär', 'blomma butik', 'blomsterarrangemang', 'blomsterdetaljhandel', 'florist', 'florister'];En affär som säljer blommor.
physical-object;['hjul', 'hjulet'];Ett cirkelrunt föremål som roterar runt en central axel och därmed möjliggör rörelse med relativt låg friktion.
physical-object;['nål', 'visare'];En lång, tunn anordning som indikerar mått på en mätare (som en kompass).
physical-object;['tältsäng', 'babysäng'];En enkel bärbar säng avsedd att användas i tält under camping.
physical-object;['roddbåt', 'jolle', 'doris', 'dinge', 'eka', 'roddbåtar', 'dory'];En öppen båt som framdrivs genom att dra åror genom vattnet.
physical-object;['kafé', 'café', 'fik', 'caféer', 'kafe', 'kaffehus', 'kaféer', 'kaffe-hus', 'kaffe hus', 'kaffebar', 'kaffehuset'];Ett företag som säljer olika alkoholfria drycker, och vanligen även tilltugg och enklare måltider (som frukost och lunch) med lokaler och annat som behövs för att förtära dessa.
physical-object;['bensinstation', 'bensinmack', 'mack', 'bensintapp', '⛽', 'bensinstationer', 'bränslepåfyllning station', 'tankstationer'];En plats som säljer bensin för direkt pumpning in i en bil eller en godkänd behållare.
physical-object;['lager', 'lagerlokal', 'packhus', 'magasinsbyggnad', 'lagerbyggnad', 'lagerlokaler', 'magasin', 'lagerarbete', 'lagringshall', 'godsmagasin', 'för lagring'];Byggnad eller rum som används för att förvara ett företags lagrade varor - lager, både sådana avsedda för direkt försäljning och sådana som är råvaror för vidare tillverkning.
physical-object;['fontän', 'fontänen', 'springbrunn', 'springvatten', '⛲', 'fontäner', 'fontäner vatten'];En ström av vatten som tvingas upp i luften genom en liten öppning, i synnerhet för dekorativa syften eller strukturen i en sjö eller pool från vilken detta strömmar.
physical-object;['torn', 'västtorn'];Byggnadsverk som mestadels är högre än det är brett och ofta används som utkikspunkt.
physical-object;['byggnad', 'offentlig byggnad', 'bygge', 'byggnadsverk', 'hus', 'konstruktion', 'byggnadskomplex', 'byggnader', 'fri-stående byggnad', 'fristående byggnad', 'kontorskomplex', 'utbyggnad', 'offentliga byggnader'];Något byggt med ett tak och väggar, som ett hus eller en fabrik.
physical-object;['luftkonditionering', 'klimatanläggning', 'automatic climate control', 'air condition', 'luftkonditionerade'];Ett system eller en process för att kontrollera temperaturen och ibland även luftens fukthalt och renhet i ett hus.
physical-object;['mössa', 'keps', 'kepsar', 'propellerkeps'];En mestadels mjuk huvudbonad som ligger nära an huvudet, och som antingen saknar brätte eller har en skärm.
physical-object;['offentlig toalett', 'toalett', 'dass', 'wc', 'offentliga toaletter', 'bekvämlighetsinrättning', 'offentliga toaletten', 'toaletten', 'toaletter', 'tvättrum'];Ett rum som innehåller åtminstone en sanitär inrättning, som ett badkar, en dusch, ett tvättställ eller en toalett.
physical-object;['gräsklippare', 'slåttermaskin', 'mejning', 'slåtter', 'gräsklipparrobot', 'grässklippare', 'motorgräsklippare', 'robotgräsklippare', 'slåtterbalk', 'åkgräsklippare', 'trädgårdstraktor'];En apparat som med hjälp av roterande blad klipper gräs.
physical-object;['rymdskepp', 'rymdfarkost', 'rymdfarkoster', 'rymdfartyg', 'goldonder', 'ballistiska kapsel'];Ett fordon som färdas genom rymden.
physical-object;['buss', 'charabang', 'diligens', 'skjuts', 'autobus', 'omnibuss', 'autobuss', 'bus', 'omnibus', 'bussar', 'busstrafik', 'färdtjänstbuss', 'landsvägsbuss', 'lokalbuss', 'regionbuss', 'regionsbuss', 'skidbuss', 'stadsbussar', 'turnébuss', 'motorbus', 'motorcoach', 'bussbolag', 'busslinjer', 'dubbeldäckare', 'jitney', 'personbil', 'stads-förorts busslinje'];Ett stort, långsträckt motorfordon utrustat med säten för passagerare, som vanligtvis fungerar som del av en reguljär trafiktjänst.
physical-object;['släde', 'släpsläde', 'pulka', 'rissla', 'slädar'];En liten kälke utan medar avsedd för nöjesåkning i nerförsbacke på snö.
physical-object;['smörkärna', 'kärna', 'smörkärning', 'smör churn', 'churn'];Ett kärl avsett för att separera grädde till smör och kärnmjölk.
physical-object;['bro', 'järnvägsbro', 'broar', 'brobana', 'högbro', 'stålbro', 'brobyggande', 'vägbro'];En konstruktion som överbryggar och skapar en passage över en väg, järnväg, flod eller annat hinder.
physical-object;['brödrost', 'brödrostar'];En apparat avsedd för att tillaga skivor av bröd genom att tillföra torr värme.
physical-object;['leksak', 'leksaker', 'toyline'];Föremål tillverkat för nöje eller lek, vanligen avsedd för barn.
physical-object;['yxa', 'snickaryxa', 'yxor', 'yxskaft', 'brand yxa'];Ett verktyg för att fälla träd eller hugga ved, som består av ett tungt metallhuvud som är utplattat till ett blad på en sida, och som är fäst vid ett handtag, vanligen av trä.
physical-object;['bomb', 'bombardemang', 'bombarderade', 'bombdåd', 'bombning', 'flygbombning', 'flygbomb', 'bomber', 'bombningar'];En apparat fylld med sprängmedel som används för att förstöra saker.
physical-object;['lie', 'orv'];Ett jordbruksredskap bestående av ett långt böjt blad fäst vid ett långt skaft, som är avsett för att skära strån av gräs eller säd när man står upprätt.
physical-object;['borste', 'pensel', 'hårborste', 'borstar'];Ett redskap med ett handtag och ett huvud med mer eller mindre böjbara strån som används för att ordna hår.
physical-object;['soffa', 'soffor'];En möbel som mer än en person kan sitta på, med rygg- och armstöd.
physical-object;['tunnelbana', 'tunnelbanetåg', 'tunnelbanesystem', 'metro', 'underjordisk järnväg', 'säkerheten på tunnelbanor', 't-bana', 't-banan', 'tunnelbanelinje', 'tunnelbanestation', 'tunnelbanestationer', 'tunneltåg', 'u-bahn', 'världens tunnelbanor', 'rapid transit', 'massa rapid transit', 'snabb-transit', 'tunnelbanan'];Ett tåg för passagerartrafik, vanligen under markytan, för att minska trafikmängden.
physical-object;['ljus', 'ljuskälla', 'synligt ljus', 'ljuset', 'ljusreflektion', 'ljusvåg', 'ljusvågor', 'synlig strålning'];Vadsomhelst, både naturligt och konstgjort, som producerar ljus.
physical-object;['filt', 'täcke'];Ett stort tygstycke som används för värma sig och för att sova.
physical-object;['baklucka', 'koffert', 'bagagelucka', 'bagageutrymme', 'skuff', 'bagageutrymmet', 'bil trunk', 'decklid'];Utrymme för att förvara bagage i en bil.
physical-object;['babysäng', 'barnsäng', 'spjälsäng'];En liten säng för ett spädbarn.
physical-object;['rutschkana', 'ett objektglas', 'mikroskop', 'mikroskopisk bild', 'våt montering'];Ett lekredskap bestående av en sluttande slät yta avsedd att åka utför sittandes.
