abstract-region;['операнд', 'operand'];Операнд — ик вашталтылше але тутыш, тудын шотышто оператор ыштыкым шукта.
physical-object;['шӱвыр'];Шӱвыр — марий калык семӱзгар.
physical-object;['ацв', 'аналог-цифр вестӱрлемдыше'];АЦВ, Аналог-Цифр Вестӱрлемдыше — аналогсигналым цифрсигналышке вестӱрлемдыше явала.
physical-object;['цав', 'цифр-аналог вестӱрлемдыше'];ЦАВ, Цифр-аналог вестӱрлемдыше — цифр кодым аналогсигналышке вестӱрлемдыше явала.
physical-object;['радиостанций'];Радиоста́нций — радиотолкын-влакым кучаш да/але колтылашлан аппаратур, аппаратур комплекс, радиоэлектрон прибор системе.
physical-object;['черке'];Черке - Христиан тӱшка.
physical-object;['колотка'];Колотка — колышо кап тойымашлан пу, кӱ але металл гыч ыштыме кужака яшлык.
physical-object;['гарем', 'harem', 'сераль'];Гарем, чынрак харем (арабла حرم, харам — «ӧрдыж еҥлан пураш лийдыме вер», але сера́ль (итальянла seraglio — «петырыме вер, зверинец») — поян мусульманын суртыштыжо ӱдырамаш-влак илыме пӧлем але ватыже-влакым ашныме вер.
physical-object;['системблок', 'системе блок'];Системблок — металл гыч ыштыме петыртышан яшлык семын келыштаралтше компьютерын тӱҥ блокшо, тудо компьютерын икмыняр ужаш гыч шога.
physical-object;['редуктор'];Редуктор - механизм лекмашан валыште пӱтыралаш моментым кугемдашлан да лукын писылыкым шагалемашлан.
physical-object;['скрипке', 'скрипка'];Скри́пке — кӱкшӧ регистран смычокан кылан семӱзгар.
physical-object;['синагого'];Синагого — еврей-влакын кумалме черкышт.
physical-object;['тӱҥплате', 'системе плате', 'системплате', 'тӱҥ плате'];Тӱҥплате — шукылончан погымплате, тушко компьютерын тӱҥ компонентше-влак вераҥдалтыт.
physical-object;['интернет', 'вапштӱня', 'интервот'];Интернет — компьютер вапш-влакым ваш-ваш ушнышо тӱнямбал радамлык.
physical-region;['шонанпыл', 'онарын капка'];Шонанпыл — пӱртӱс кончымаш.
political-geographic-object;['румыний'];Румыний — Европысо эл.
political-geographic-object;['флоренций'];Флоренций (итальянла Firenze, лат.
political-geographic-object;['каунас', 'kaunas'];Каунас — ола Литваште.
political-geographic-object;['дели', 'délhi'];Дели — кок эн кугу ола Индийыште, ушем кумдык.
political-geographic-object;['шэньян', 'мукден', 'шеньян'];Шэньян — ола Китайыште, Ляонин провинцийын рӱдолаже.
political-geographic-object;['салоники'];Салоники але Фессалоники — кок кугу ола Грецийыште.
political-geographic-object;['харьков'];Харьков - ола Украиныште.
political-geographic-object;['халеб', 'алеппо'];Халеб (арабла حَلَبُ Халеб, армянла Հալեպ Халеб, грекла Αλέππο, Βέροια, лат.
political-geographic-object;['севастополь'];Севастополь - ола Украиныште, Крым пелотрошто.
political-geographic-object;['хошимин', 'хо ши мин ола'];Хошимин — Вьетнам ола.
political-geographic-object;['марсель'];Марсель - ола Францийыште, кок эн кугу ола Францийыште.
political-geographic-object;['пусан', 'busán'];Пусан (кор.
political-geographic-object;['лос-анджелес'];Лос-Анджелес — эн кугу ола Калифорнийыште.
political-geographic-object;['женева', 'женеве'];Женеве (французла Genève, немычла Genf, лат.
political-geographic-object;['омск', 'omsk'];Омск — ола Российыште, Омск велын кучем рӱдыжӧ.
political-geographic-object;['пермь', 'perm', 'молотов'];Пермь — ола Российыште, Пермь мландын рӱдыжӧ.
political-geographic-object;['волгоград', 'сарытын', 'сталинград', 'царицын'];Волгоград — ола, тошто руш лӱм - Царицын.
political-geographic-object;['санкт-петербург', 'ленинград', 'петроград'];Санкт-Петербург — ола, Российысе Федерал кӱлешан ола.
political-geographic-object;['вероно', 'verona'];Вероно — ола Италийыште.
political-geographic-object;['гданьск', 'данциг'];Гданьск — ола Польшышто.
political-geographic-object;['орлеан', 'orlèans'];Орлеан — ола Францийыште, Орлеане эртык велын рӱдыжӧ.
political-geographic-object;['кёльн', 'кӧльн'];Кёльн (немычла Köln. акрет лӱм лат.
political-geographic-object;['йӱдвел корей'];Йӱдвел Корей — эл Азийыште.
political-geographic-object;['норвегий', 'noreg', 'norge'];Норвегий — эл Европышто.
political-geographic-object;['нидерланде'];Нидерланде — Европысо эл.
political-geographic-object;['японий'];Японий — эл Азийыште.
political-geographic-object;['монако онлык', 'монако'];Мона́ко О‘нлык але Мона́ко — Европо кечывалвелне Мландепокшел теҥыз серыште верланыше карлик кугыжаныш.
political-geographic-object;['малайзий'];Малазий — эл Азийыште.
political-geographic-object;['белиз', 'belize'];Белиз — эл Йӱдвел Америкыште.
political-geographic-object;['доминике', 'доминика'];Доминике — эл Йӱдвел Америкыште.
political-geographic-object;['швейцарий', 'ch'];Швейцарий — эл Европышто.
political-geographic-object;['совет социализм республик-влак ушем', 'совет ушем', 'советский союз', 'ссру', 'ссср'];Совет Социализм Республик-влак Ушем, тыгак Совет Ушем - 1922-1991 ий жапыште Европо да Азий континент-влаклаште верланыше кугыжаныш.
political-geographic-object;['люксембург'];Люксембург — Европысо эл.
political-geographic-object;['ушымо королевстве', 'великобританий', 'кугу британий', 'ушымо корольлык'];Ушымо Королевстве але Кугу Британий да Йӱдвел Ирландийын Ушымо Королевстве — Европысо эл.
political-geographic-object;['испаний'];Испа́ний, официал лӱм — Испа́ний Королевство — Европын кечывалвел-касвелныже верланыше кугыжаныш.
political-geographic-object;['таджикистан'];Таджикистан — эл Азийыште.
political-geographic-object;['уганде', 'uganda', 'уганда'];Уганде — Эрвел Африкысе эл.
political-geographic-object;['белоруссий', 'беларусь', 'беларусь республик', 'ош россий'];Белоруссий
political-geographic-object;['азербайджан'];Азербайджан — эл Европышто да Азийыште.
political-geographic-object;['кыргызстан', 'киргизий'];Кыргызстан — эл Азийыште.
political-geographic-object;['узбекистан'];Узбекистан — эл Азийыште.
political-geographic-object;['казахстан', 'казахстан республик'];Казахстан, тыгак Казахста́н Респу́блик, — Азийын йӱдвел-касвелныже да Европын кечывалвел-эрвелныже верланыше кугыжаныш.
political-geographic-object;['тяньцзинь'];Тяньцзинь — ола Китайыште.
political-geographic-object;['нью-джерси', 'new jersey'];Нью-Джерси — УАШысе регион, штат.
political-geographic-object;['иллинойс', 'illinóis'];Иллинойс — УАШысе регион, штат.
political-geographic-object;['миннесото', 'minnesota'];Миннесото — УАШысе регион, штат.
political-geographic-object;['миссури', 'missouri'];Миссури — УАШысе регион, штат.
political-geographic-object;['мичиган', 'michigan'];Мичиган — УАШысе регион, штат.
political-geographic-object;['небраске', 'nebraska'];Небраске — УАШысе регион, штат.
political-geographic-object;['бельгий'];Бельгий — Европысо эл.
political-geographic-object;['свазиленд'];Свазиленд — эл Африкыште.
political-geographic-object;['пакистан'];Пакистан — эл Азийыште.
political-geographic-object;['афганистан'];Афганиста́н, официал лӱм — Афганиста́н Ислам Респу́блик — Покшел Эрвелне верланыше кугыжаныш, теҥыз дек лектыш уке.
political-geographic-object;['австрий', 'авыстри'];Австрий — Европысо эл.
political-geographic-object;['лаос'];Лаос — эл Азийыште.
political-geographic-object;['австралий'];Австралий — эл да континент Океанийыште.
political-geographic-object;['коннектикут', 'connecticut'];Коннектикут — УАШысе регион, штат.
political-geographic-object;['туркменистан', 'туркмений', 'тӱркмений', 'тӱркменистан'];Туркменистан — Центральный Азийыште верланыше кугыжаныш.
political-geographic-object;['грузий'];Гру́зий — кугыжаныш, Ончыл Азийыште да Европышто верланыше кугыжаныш.
political-geographic-object;['руанде', 'руанда'];Руанде — эл Африкыште.
political-geographic-object;['гондурас', 'honduras'];Гондурас — эл Йӱдвел Америкыште.
political-geographic-object;['гватемала', 'гватемале', 'guatémala'];Гватемале — эл Йӱдвел Америкыште.
political-geographic-object;['коста-рика'];Коста-Рика — эл Йӱдвел Америкыште.
political-geographic-object;['венгрий', 'веҥгрий'];Венгрий — Покшел Европысо эрыкан демократ кугыжаныш.
political-geographic-object;['сомали'];Сомали — Африкыcе эл.
political-geographic-object;['вьетнам'];Вьетнам — эл Азийыште.
political-geographic-object;['немыч эл', 'германий'];Немыч Эл — Европысо эл.
political-geographic-object;['гайана', 'гайане'];Гайане — эл Кечывалвел Америкыште.
political-geographic-object;['суринам'];Суринам — эл Кечывалвел Америкыште.
political-geographic-object;['венесуэла', 'венесуэле'];Венесуэле — эл Кечывалвел Америкыште.
political-geographic-object;['алжир'];Алжи́р, официал лӱмжӧ — Алжи́р Ка‘лык Демокра́тий Респу́блик — кугыжаныш Йӱдвел Африкыште, Мландепокшел теҥызын касвел ужашыштыже.
political-geographic-object;['индий'];Индий - Азийысе кугыжаныш.
political-geographic-object;['италий'];Италий — Европысо эл.
political-geographic-object;['чили'];Чили — эл Кечывалвел Америкыште.
political-geographic-object;['парагвай'];Парагвай — эл Кечывалвел Америкыште.
political-geographic-object;['индонезий'];Индоне́зий (индон.
political-geographic-object;['греций'];Греций — Европысо эл.
political-geographic-object;['украина', 'украине'];Украине — Европысо эл.
political-geographic-object;['мексика', 'мексике'];Мексике — эл Йӱдвел Америкыште.
political-geographic-object;['армений'];Арме́ний Респу́блик — эрыкан, унитар кугыжаныш.
political-geographic-object;['кечывалвел корей', 'корей республик'];Кечывалвел Корей — эл Азийыште.
political-geographic-object;['сенегал'];Сенегал — Африкысе эл.
political-geographic-object;['франций', 'пырансе'];Франций — Европысо эл.
political-geographic-object;['эквадор'];Эквадор — эл Кечывалвел Америкыште.
political-geographic-object;['ирландий'];Ирландий — Европысо эл.
political-geographic-object;['сальвадор'];Сальвадор — эл Йӱдвел Америкыште.
political-geographic-object;['филиппин-влак', 'филиппины'];Филиппин-влак — Азийысе эл.
political-geographic-object;['сейшел-влак'];Сейшел-влак — эл Африкыште.
political-geographic-object;['ялта', 'jalta', 'ялте'];Ялте — ола Украиныште, Крым Автоном Республикыште.
political-geographic-object;['швеций'];Швеций — Европысо эл.
political-geographic-object;['владивосток', 'vladivostok'];Владивосток — ола Российыште, Теҥызсер мландын рӱдыжӧ.
political-geographic-object;['ростов-на-дону', 'дон ӱмбалне ростов'];Ростов-на-Дону — ола Российыште, Ростов велын кучем рӱдыжӧ, Кечывалвел федерал йырвелын рӱдыжӧ.
political-geographic-object;['кувейт', 'эль-кувейт'];Кувейт — Кувейтын рӱдолаже.
political-geographic-object;['рӱдола', 'рӱдӧ ола', 'столица'];Рӱдола — кугыжанышын але административ чоҥымашын тӱҥ официал олаже.
political-geographic-object;['лихтенштейн'];Лихтенштейн — эл Европышто.
political-geographic-object;['андорра', 'андорро'];Андорро — эл Европышто.
political-geographic-object;['теннесси', 'tennessee'];Теннесси
political-geographic-object;['кентукки', 'kentucky'];Кентукки — УАШысе регион, штат.
political-geographic-object;['канзас', 'kansas'];Канзас — УАШысе регион, штат.
political-geographic-object;['вермонт', 'vermont'];Вермонт — УАШысе регион, штат.
political-geographic-object;['массачусетс', 'massachusetts'];Массачусетс — УАШысе регион, штат.
political-geographic-object;['род-айленд', 'rhode island'];Род-Айленд
political-geographic-object;['кечывалвел дакото'];Кечывалвел Дакото — УАШысе регион, штат.
political-geographic-object;['аляске', 'alaska'];Аляске — УАШысе регион, штат.
political-geographic-object;['монтане', 'montana'];Монтане — УАШысе регион, штат.
political-geographic-object;['орегон', 'orégon'];Орегон
political-geographic-object;['луизиане', 'луизиана', 'louisiana'];Луизиане — УАШ-ысе регион, штат.
political-geographic-object;['оклахомо', 'oklahoma'];Оклахомо
political-geographic-object;['арканзас', 'arkansas'];Арканзас — УАШысе регион, штат.
political-geographic-object;['флориде', 'flórida'];Флориде
political-geographic-object;['джорджий', 'geórgia'];Джорджий — УАШысе регион, штат.
political-geographic-object;['йӱдвел каролине'];Йӱдвел Каролине — УАШысе регион, штат.
political-geographic-object;['нью-мексико'];Нью-Мексико
political-geographic-object;['аризоно', 'arizona'];Аризоно — УАШысе регион, штат.
political-geographic-object;['миссисипи', 'mississíppi'];Миссисипи — УАШысе регион, штат.
political-geographic-object;['кечывалвел каролине'];Кечывалвел Каролине — УАШысе регион, штат.
political-geographic-object;['виргиний', 'вирджиний'];Виргиний — УАШысе регион, штат.
political-geographic-object;['айдахо', 'idaho'];Айдахо — УАШысе регион, штат.
political-geographic-object;['алабаме', 'alabama'];Алабаме — УАШысе регион, штат.
political-geographic-object;['гавайи'];Гавайи — УАШысе регион, штат.
political-geographic-object;['неваде', 'невада', 'névada'];Невада — УАШ-ысе регион, штат.
political-geographic-object;['калифорний'];Калифорний — УАШысе регион, штат.
political-geographic-object;['вайоминг', 'wyoming'];Вайоминг — УАШысе регион, штат.
political-geographic-object;['юто', 'utah'];Юто — УАШысе регион, штат.
political-geographic-object;['колорадо', 'colorado'];Колорадо — УАШысе регион, штат.
political-geographic-object;['йӱдвел дакото'];Йӱдвел Дакото — УАШысе регион, штат.
political-geographic-object;['дамаск'];Дамаск — ола, Сирийын рӱдолаже.
political-geographic-object;['сарагосо', 'zaragoza'];Сарагосо - ола Испанийыште.
political-geographic-object;['кувейт'];Кувейт — эл Азийыште.
political-geographic-object;['ливан'];Ливан — эл Азийыште.
political-geographic-object;['ватикан'];Ватикан — эл Европышто.
political-geographic-object;['краков'];Краков (полякла Kraków, полное официал лӱм — Краков рӱдоласе королев ола (полякла Stołeczne Królewskie Miasto Kraków, лат.
political-geographic-object;['донецк'];Донецк — ола Украиныште, Донецк велын рӱдолаже.
political-geographic-object;['угарман', 'горький', 'нижний новгород'];Угарман — ола Российыште, Угарман велын рӱдыжӧ, Юлсер федерал йырвелын рӱдыжӧ.
political-geographic-object;['дюссельдорф', 'dússeldorf'];Дюссельдорф — ола Немыч Элыште, Йӱдвел Рейн — Вестфалий мландын рӱдолаже.
political-geographic-object;['тринидад да тобаго'];Тринидад да Тобаго — эл Йӱдвел Америкыште.
political-geographic-object;['исландий'];Исландий — эл Европышто.
political-geographic-object;['гренаде', 'гренада', 'grenada'];Гренаде — эл Йӱдвел Америкыште.
political-geographic-object;['сан-паулу', 'sâo paulo'];Сан-Паулу — Бразилийын кечывалвел-эрвел ужашыштыже кугу ола, Сан-Паулу штатын рӱдӧ олаже.
political-geographic-object;['порт-луи', 'port louis'];Порт-Луи - ола.
political-geographic-object;['лиссабон'];Лиссабон — Португалийын рӱдолаже.
political-geographic-object;['лиме', 'лима', 'lima'];Лиме — ола, Перун рӱдыжӧ.
political-geographic-object;['софий'];Софий — ола, Болгарийын рӱдолаже.
political-geographic-object;['богота', 'bogotá'];Богота — ола, Колумбийын рӱдыжӧ.
political-geographic-object;['гаване'];Гаване — ола, Кубын рӱдолаже.
political-geographic-object;['прага', 'праге'];Праге — Чехийын рӱдолаже.
political-geographic-object;['будапешт', 'budapest'];Будапешт — ола, Венгрийын рӱдолаже.
political-geographic-object;['джакарта', 'джакарте'];Джакарте (индон.
political-geographic-object;['багдад', 'bagdād'];Багдад — Иракын рӱдолаже.
political-geographic-object;['рим'];Рим — Италийын рӱдолаже.
political-geographic-object;['бейрут'];Бейрут — Ливанын рӱдолаже.
political-geographic-object;['брисбен', 'brisbane'];Брисбен (англичанла Brisbane — ола Австралийыште.
political-geographic-object;['бухарест'];Бухарест — ола, Румынийын рӱдолаже.
political-geographic-object;['иерусалим'];Иерусалим — ола Палестиныште да Израильыште, Палестинын рӱдолаже.
political-geographic-object;['киев'];Киев - ола Украиныште, Украинын рӱдолаже.
political-geographic-object;['турин'];Турин — ола Италийыште, Пьемонт велын рӱдолаже.
political-geographic-object;['ереван', 'эривань'];Ереван — Арменийын рӱдолаже.
political-geographic-object;['берлин', 'berlín'];Берлин - ола Немыч Элыште.
political-geographic-object;['пхеньян'];Пхеньян (кор.
political-geographic-object;['эр-рияд'];Эр-Рияд — Сауд Аравийын рӱдолаже.
political-geographic-object;['пекин'];Пекин - Китай элын рӱдолаже.
political-geographic-object;['таиланд'];Таиланд — эл Азийыште.
political-geographic-object;['эфиопий'];Эфиопий — эл Африкыште.
political-geographic-object;['моско', 'москва'];Моско — ола, Российын рӱдолаже.
political-geographic-object;['багаме', 'багам-влак'];Багамысе отро-влак — эл Йӱдвел Америкыште.
political-geographic-object;['сан-томе да принсипи'];Сан-Томе да Принсипи — эл Африкыште.
political-geographic-object;['chicago'];Chicago — УАШ-ыште ола.
political-geographic-object;['суоми', 'финляндий', 'суоми эл'];Финляндий, официал лӱм Финляндий Республик — Европысо эл.
political-geographic-object;['бостон', 'bóston'];Бостон — ола УАШыште, Массачусетсын рӱдолаже.
political-geographic-object;['самарканд', 'samarkand'];Самарканд — ола Узбекистаныште, Самарканд велын рӱдолаже.
political-geographic-object;['дохо', 'dohá'];Дохо — ола, Катарын рӱдолаже.
political-geographic-object;['кабул', 'kabul'];Кабул — Афганистанын рӱдолаже да эн кугу олаже.
political-geographic-object;['тирана', 'тиране', 'tirana'];Тирана — Албанийын рӱдолаже.
political-geographic-object;['вена', 'вене'];Вена — ола, Австрийын рӱдолаже.
political-geographic-object;['дакке', 'дакка', 'dhaka'];Дакке — эн кугу ола Бангладешыште, Бангладешын рӱдолаже.
political-geographic-object;['мюнхен', 'мӱнхен'];Мюнхен — ола Немыч Элыште, Баварий эрыкан мландын рӱдолаже.
political-geographic-object;['брюссель'];Брюссель — Бельгийын рӱдолаже.
political-geographic-object;['сантьяго'];Сантьяго — ола, Чилин рӱдыжӧ.
political-geographic-object;['никосий'];Никосий але Лефкосий — Кипрын да Йӱдвел Кипрын рӱдолаже.
political-geographic-object;['лондон'];Лондон (англичанла London [ˈlʌndən], лат.
political-geographic-object;['таллинн'];Таллинн - Эстонийын рӱдолаже.
political-geographic-object;['хельсинки', 'helsinki'];Хельсинки — Финляндийын рӱдолаже.
political-geographic-object;['париж', 'лютеций'];Париж — ола, Франций рӱдолаже.
political-geographic-object;['тбилиси', 'тифлис'];Тбилиси — Грузийын рӱдолаже.
political-geographic-object;['рейкьявик', 'reykjavìk'];Рейкьявик — Исландийын рӱдолаже.
political-geographic-object;['тегеран', 'teherán'];Тегера́н (фарсила تهران — [tʰehˈɾɒ:n], кутыр.
political-geographic-object;['токио'];Токио - Японийын рӱдолаже.
political-geographic-object;['найроби', 'nairobi'];Найроби — Кенийыште ола.
political-geographic-object;['рига', 'rīga'];Рига — ола, Латвийын рӱдолаже.
political-geographic-object;['вильнюс', 'вильна', 'вильно'];Вильнюс (литовла Vilnius, полякла Wilno)) - Литван рӱдолаже.
political-geographic-object;['мехико'];Мехико — ола, Мексикын рӱдыжӧ.
political-geographic-object;['улан-батор', 'урга'];Улан-Батор — Монголийын рӱдолаже.
political-geographic-object;['янгон', 'yangón', 'рангун'];Янгон — эн кугу ола Мьянмыште, ончычсо Мьянмын рӱдолаже.
political-geographic-object;['варшаве'];Варшаве — Польшын рӱдолаже.
political-geographic-object;['сеул'];Сеул — ола, Кечывалвел Корейын рӱдолаже, ты кундемыште эн кугу олалан шотлалтеш.
political-geographic-object;['мадрид', 'madrid'];Мадрид - Испанийын рӱдолаже.
political-geographic-object;['стокгольм'];Стокгольм - Швецийын рӱдолаже.
political-geographic-object;['бангкок'];Бангкок — Таиландын рӱдолаже.
political-geographic-object;['абиджан', 'abidján'];Абиджан — Кот-д'Ивуарыште ола.
political-geographic-object;['ашхабад', 'ашгабат', 'полторацк'];Ашхабад — Туркменистанын рӱдолаже.
political-geographic-object;['ханой', 'hanoi'];Ханой — Вьетнамын рӱдолаже.
political-geographic-object;['канберре', 'канберра', 'canberra'];Канберре — Австралийын рӱдолаже.
political-geographic-object;['баку', 'bakü'];Баку - ола, Азербайджанын рӱдолаже.
political-geographic-object;['минск', 'mińsk'];Минск — ола, Белоруссийын рӱдолаже.
political-geographic-object;['загреб', 'zagreb'];Загреб (хорв.
political-geographic-object;['каир'];Каир — Египетын рӱдолаже.
political-geographic-object;['алматы', 'верный'];Алматы — ола, Казахстаныште эн кугу ола.
political-geographic-object;['бишкек', 'пишпек', 'фрунзе'];Бишкек — ола, Кыргызстанын рӱдолаже.
political-geographic-object;['милан'];Милан — ола Италийыште, Кампаний велын рӱдолаже.
political-geographic-object;['кишинёв'];Кишинёв — ола, Молдовын рӱдолаже.
political-geographic-object;['палермо', 'palermo'];Палермо (грекла Πάνορμος, итальянла Palermo, Кышкар:Lang-scn, лат.
political-geographic-object;['душанбе', 'сталинабад'];Душанбе — ола, Таджикистанын рӱдолаже.
political-geographic-object;['анкара', 'ankara'];Анкара — Турцийын рӱдолаже да Анкара ильын чыла кундемже.
political-geographic-object;['ташкент'];Ташкент — ола, Узбекистан рӱдолаже.
political-geographic-object;['мельбурн', 'melbourne'];Мельбурн (англичанла Melbourne — ола Австралийыште.
political-geographic-object;['киншаса', 'киншасе'];Киншасе — ола, Конго Демократик Республикын рӱдыжӧ.
political-geographic-object;['рио-де-жанейро', 'rio de janeiro'];Рио-де-Жанейро — Бразилийыште ола.
political-geographic-object;['сидней', 'sydney'];Сидней (англичанла Sydney — эн кугу ола Австралийыште.
political-geographic-object;['тель-авив'];Тель-Авив-Яффе — кок эн кугу ола Израильыште.
political-geographic-object;['стамбул', 'византий', 'константинополь', 'у рим'];Стамбул але Истанбул — Йӱдвел-касвел Турцийыште ола да Стамбул ильын чыла кундемже.
political-geographic-object;['нью-йорк', 'у йорк'];Нью-Йорк — УАШ-ыште ола.
political-geographic-object;['карачи', 'karāchi'];Карачи — Кечывалвел Пакистаныште ола да Синдын чыла кундемже.
political-geographic-object;['филадельфий'];Филадельфий — ола Пенсильванийыште, УАШ. Калыкчот 1,5 млн.
political-geographic-object;['бразилий'];Бразилий — эл Кечывалвел Америкыште.
political-geographic-object;['венеций'];Венеций — ола Италийыште, Венето регионын рӱдолаже.
political-geographic-object;['кейптаун', 'капстад'];Кейптаун — кок эн кугу ола КАРыште, Касвел Кап провинцийын рӱдолаже.
political-geographic-object;['техас', 'téxas'];Техас
political-geographic-object;['эл', 'территорий'];Эл — ала-могай калыкын шочмо вер.
practice;['илышын кӱкшыт', 'илышын сайлыкше'];Илышын кӱкшыт — уровень материального благополучия, характеризуется объемом реальных доходов на душу населения и прожиточным минимумом.
quality;['эшм чоҥымойыртем', 'компьютер архитектур', 'компьютер чоҥымойыртем', 'эшм архитектур'];ЭШМ архитектур — компьютерын пашарадамже ден явалажын чоҥалтме ойыртемже.
quality;['индуизм'];Индуизм – Тӱняште тын.
quality;['юмынйӱла'];Юмынйӱла — Юмылан ӱшанымаш негызеш тӱняужмаш.
quality;['камберке', 'конверт'];Камбе́рке — кагаз да лапка насталан лӱмын ыштыме леведыш.
quality;['ужар тӱс'];Ужар тӱс — кум тӱҥ тӱс гыч иктым.
quality;['христианлык'];Христианлык — тӱнямбал монотеист тын.
quality;['юмор'];Юмор — иктаж-мом мыскара шот дене ончыктымаш.
region;['цифре-влак', 'цифр', 'цифр-влак', 'цифре'];Цифре-влак (лат.
region;['километр'];Километр — кумдан шарлыше метрлан кратный лийын шогышо кужытым висыме единица.
region;['окса иктык', 'валюта', 'валюто'];Окса иктык — вес элысе окса.
region;['уштыш'];Уштыш — вичшӱдӧ важык але тӱжем аршын гыч шогышо кужытым висыме руш единица.
region;['байт'];Байт — компьютерыште информацийым аралымаште, вончештарылмаште да пашалымаште тӱҥ висымкугыт. байт компьютерын шарнышыштыже ик тичмаш семын возалтеш, лудалтеш да пашалалтеш. тӱҥ шотышто байт 8 бит кугытан улеш.
region;['шеч'];Шеч — кужытым висыме тошто руш единица, шуйымо кугыварня да кошарварня мучаш кокласе кужыт.
region;['тӱжем'];Тӱжем — 1 000, икытпал 3 укепал дене возымо шотпал, 103.
region;['эр'];Эр – йӱд деч вара кечын тӱҥалме ужашыже.
region;['миллион', '1000000'];Миллион — европо шотпал радамыште тӱжем тӱжем, икытпал 6 укепал дене возымо шотпал, 106.
region;['сутка'];Сутка значений гыч — жапым висыме единице, Мландын шке рӱдыжӧ йыр пӧрдмын ик оборотшо.
relation;['йӱдвел', 'йÿдвел', 'север'];Йӱдвел — ныл тӱня вел-влак гыч икте.
relation;['кечывалвел', 'юг'];Кечывалвел — — ныл тӱня вел-влак гыч икте.
relation;['эрвел'];Эрвел рушла восток — Ныл тӱня вел гыч иктыже.
relevant-part;['пиксель'];Пиксель — растр ойыпын эн изи ужашыже, кудын тӱсшым шкевуя ойырен палемдаш лиеш.
relevant-part;['аппарат вораҥдыш'];Аппарат вораҥдыш — компьютерын электрон да механике ужаш тӱшкалыкше.
simple-collection;['шордышӱдыр', 'шордошӱдыр'];Шордышӱдыр (рушла Малая Медведица, лат.
simple-collection;['ирказа'];Ирказа (лат.
simple-collection;['кол'];Кол (лат.
simple-collection;['скорпион', '♏'];Скорпион (лат.
simple-collection;['ӱдыр'];Ӱдыр (лат.
simple-collection;['виса'];Виса (лат.
simple-collection;['рак'];Рак (лат.
simple-collection;['шорык'];Шорык (лат.
simple-collection;['арыслан', '♌'];Арыслан (лат.
simple-collection;['йыгыр'];Йыгыр (лат.
simple-collection;['вӱд йоктарыше'];Вӱд йоктарыше (лат.
simple-collective;['калык'];Калык 3841 еН.
simple-planned-collective;['илымвер'];Илымвер - еҥ-влакын илыме верышт, мутлан, хутор, ял, ола сынан посёлко, ола.
simple-planned-collective;['кӱшыл суд', 'верховный суд'];Кӱшыл суд — кугыжанышын эн кӱкшӧ суд тӧнежше.
situation;['меню', 'menù'];Меню — команде лӱмеран интерфейсэлемент. команде-влакым ойырен налын, пайдаланыше компьютерым виктарен кертеш.
situation;['папке', 'директорий', 'каталог'];Папке — файлсистемын элементше, файл да вес папке-влакым аралыше структур.
situation;['ftp', 'file transfer protocol', 'файл трансферлык протокол'];FTP — файлым вер гыч верышке вончештарылмым йӧнештарыше протокол.
situation;['протокол'];Вотыш пурышо компьютер-влак коклаште кылым ыштыше йӧным возен ончыктымаш.
situation;['формул'];Формул
situation;['малымаш'];Малымаш - омо мутын кокымшо ыҥже.
situation;['некролог'];Некролог — колышо еҥын илышыж ден пашаж нерген возымо статья.
situation;['http', 'hypertext transfer protocol', 'гипертекст трансферлык протокол'];HTTP — гипертекстле документлам вончештарылмым йӧнештарыше протокол.
situation;['шолыпмут', 'password', 'пароль'];Шолыпмут — рашемдыме пайдаланышылан гына палыме шкешотан тиште почелалык, тудым компьютер системыш шуашлан але интервотыш ушнашлан кучылтыт.
situation;['ойпелештыш', 'комментарий'];Ойпелештыш — программлымаш йылмын конструкцийже, интерпретацийыште але компиляцийыште кучылталтдыме, программын тӱҥалтыш код кӧргыштӧ верланыше программист-влаклан умылтарыме текст.
situation;['ыҥпалыпого', 'ыҥпале пого'];Ыҥпалыпого — ик сомыллан кучылталтше але ик теман ыҥпале-влакын погышт.
situation;['парашют спорт'];Парашют спорт — авиаций спортын тӱрлык.
situation;['аксиомо'];Аксиомо — чыным доказатлыде умылымо принцип але положений.
situation;['аксиомо'];Аксиомо — чыным доказатлыде умылымо принцип але положений.
situation;['парашют спорт'];Парашют спорт — авиаций спортын тӱрлык.
situation;['ыҥ'];Ыҥ — пале да тиде палым умылымаш кокласе кыл.
social-role;['окса иктык', 'валюта', 'валюто'];Окса иктык — вес элысе окса.
socially-constructed-person;['джеффри чосер', 'geoffrey chaucer'];Джеффри Чосер — аҥгличан почеламутчо, "англичан почеламутын ачаже", Вестминстер Аббейын почеламутчо лукыште икымше тойыме почеламутчо.
socially-constructed-person;['гӧте, иоганн вольфганг фон', 'гёте, иоганн вольфганг фон'];Гёте, Иоганн Вольфганг фон.
socially-constructed-person;['людвиг ван бетховен'];Людвиг ван Бетховен – немыч композитор да пианист.
socially-constructed-person;['виктор гюго'];Виктор Мари Гюго – француз сезызе, поэт, драматург, француз романтизмын теоретикше.
socially-constructed-person;['фредерик шопен'];Фредерик Франсуа Шопен — польский композитор, пианист, виртуоз, туныктышо.
