abstract-region;['operando', 'operand'];Un operando es omne argumento que es le objecto de un operation mathematic.
physical-object;['dismodulation'];In telecommunication le termino dismodulation o demodulation ingloba le ensemble de technicas utilizate pro recuperar le information transportate per un unda portadora, que in le extremo transmissor habeva essite modulate cum iste información.
physical-object;['turre de babel'];Le Turre de Babel es describite in le Biblia in le Vetere Testamento.
physical-object;['telecommunication'];Le telecommunication es le scientia e practica del communication a distantia per telephono, telegrapho, internet, etc.
physical-object;['pantalon'];Un pantalon es un typo de vestimento.
physical-object;['automobile', 'auto'];Un automobile o auto es un vehiculo a motor sur rotas, usate pro transportation private, o pagate in forma de taxi.
physical-object;['45', 'quaranta-cinque'];numero 45
physical-object;['motocyclo', 'motorcyclo', 'motocycletta', 'moto'];Un motocycletta o motocyclo, etiam brevemente moto, es un vehiculo motorisate con duo rotas.
physical-object;['trompetta'];Le trompetta es un instrumento musical de vento.
physical-object;['casa municipal'];Un casa municipal es in general le principal edificio administrative e representative de un municipalitate.
physical-object;['casa municipal'];Un casa municipal es in general le principal edificio administrative e representative de un municipalitate.
physical-object;['sneaker'];Un sneaker es un typo de calceatura.
physical-object;['taxi'];Taxi [tak'si] es un medio de transporto public pro le transporto occasional de passageros, cuje chauffeur necessita un permission e qui transporta a pagamento con taximetro le passagero directemente al destination desiderate.
physical-object;['cochi'];Un cochi es un carro suspendite, que es trainate per un o plure animales de tracto, usualmente per cavallos.
physical-object;['episcopo'];Le episcopo es un pecia de chacos que, a causa de su forma punctate, rememora del mitra de un episcopo christian.
physical-object;['cavallo', 'cavallero'];Le cavallo es un pecia in le joco de chacos que respresenta un cavallo.
physical-object;['sapon'];Sapon es un aquasolubile detergente pro le hygiene personal.
physical-object;['t-shirt', 'sweater'];Un t-shirt o camisetta es un typo de vestimento.
physical-object;['world wide web', 'tela trans terrestre', 'web', 'worldwide web', 'www'];Expression in anglese que significa "tela mundial", communmente abbreviate como "le Web" o "WWW".
physical-object;['vehiculo'];Un vehiculo es un termino generic pro un medio de transporto, le qual servi al transporto de personas, merces o machinas etc..
physical-object;['scarpa'];Un scarpa es un typo de calceatura que se usa al pedes.
physical-object;['pullover', 'sweater'];Un pullover es un typo de vestimento.
physical-object;['spada', 'gladio'];Un spada o gladio es un arma blanc componite de un longe lamina metallic acute e affilate, fixate a un manico, le qual pote comprender un guarda e un pomo.
physical-object;['jornal', 'quotidiano'];Un jornal esse un scripto, normalmente quotidian, que contine commentarios sur le evenimentos del die.
physical-object;['museo'];Un museo es un institution que conserva un collection de artefactos et altere objectos de importantia artistic, cultural, historic o scientific e que los expone in publico.
physical-object;['magnete'];Un magnete es un material o objecto que produce un campo magnetic.
physical-object;['paracadita'];Un paracadita o parachute es un typo de umbrella que permitte caditas libere, controlate, secur e sin damnos etiam de grande altitudes.
physical-object;['pumpa'];Un pumpa es un apparato o machina pro sublevar, pulsar, exhaurir, comprimer fluidos o gases per medios de piston, o un gruppo de ventos girante.
physical-object;['monitor de computator', 'ecran de ordinator', 'monitor de ordinator'];In informatica, le monitor de computator es un unitate peripheric del computator, consistente in un apparato visual que monstra le activitate portate a fin per le machina al qual il es connectite.
physical-object;['fagotto'];Le fagotto es un instrumento de tubo conic pertinente al familia de vento-ligno e proviste de linguetta duple.
physical-object;['corno anglese'];Le corno anglese es un instrumento de vento.
physical-object;['piscina'];Un piscina es un construction create pro mantener aqua e pro render possibile natation o altere activitates aquatic.
physical-object;['aratro'];Le aratro es un utensile o machina que es usate in le initial del cultivation del terreno, in preparation pro seminar le campo o pro aerar le terreno.
physical-object;['sauna'];Un sauna o banio finnese es un loco calefacibile pro homines pro sudar con le intension de gaudimento, induration, mundification o recreation.
physical-object;['vehiculo amphibie'];Un vehiculo amphibie,, es un vehiculo que es apte de vader non solmente sur terra ma etiam sur aqua.
physical-object;['turre de london'];Le Turre de London es un castello historic in London, que se situa in le burgo de Tower Hamlets, juxta le perimetro del Citate de London, le Fluvio Tamesis, Tower Bridge e Tower Hill.
physical-object;['gonna'];Un gonna es un typo de vestimento.
physical-object;['camisa'];Un camisa es un typo de vestimento.
physical-object;['lampa incandescente'];Un lampa incandescente es un luce electric con un fila calefacite usque isto incandesce.
physical-object;['telephono mobile'];Le rete de telephonia mobile o cellular consiste de un systema telephonic in le qual, per medio del combination de un rete de stationes transmissor-receptor de radio (stationes de base) e un serie de centrales telephonic de commutation, se possibilisa le communication inter terminales telephonic portabile (i.e.
physical-object;['hamaca'];Un hamaca es un opportunitate de reposar e de dormir in rete o tela, que es attaccate inter duo punctos de fixation in tal modo de crear un superficie jacente.
physical-object;['clinica', 'hospital'];Un Clinica es un servicio organisate medical que offere tractamentos diagnostic, therapeutic o preventive al patientes ambulante.
physical-object;['hospital'];Un hospital es un edificio o gruppo de edificios pro medicina e curationes, ubi un patiente o persona malade visita o de gravis causa se confina e pro sanitate se resta e recupera, tractate per chirurgia o altere curation.
physical-object;['cupola'];Un cupola es un elemento de architectura que resimula le cave medietate alte de un sphera.
physical-object;['synagoga'];Etymologia: Ab le gr.
physical-object;['castello'];Un castello es un typo de edificio.
physical-object;['timbales', 'timpano', 'timbal'];Un timpano es un instrumento de percussion.
physical-object;['statua del libertate', 'le libertate illuminante le mundo', 'libertate illuminante le mundo', 'liberty enlightening the world', 'statue of liberty', 'the statue of liberty'];Le Statua del Libertate es un monumento neoclassic in New York, SUA. Le inauguration habeva loco le 28 de octobre 1886 e le statua esseva classificate como Patrimonio Mundial in 1984.
physical-object;['violoncello'];Le violoncello o cello es un instrumento musical de chordas.
physical-object;['rota gigante', 'rota panoramic'];Un rota gigante o rota panoramic es un attraction a forma de un rota in occasion de festas popular, que porta le passageros al su circumferentia in un position con un panorama.
physical-object;['camera photographic', 'camera'];Un camera photographic o apparato photographic es un apparato utilisate pro obtener photographias.
physical-object;['traino'];Un traino es un typo de transporto per rail consistente de un serie de vehiculos que usualmente curre preter un via ferree pro transportar cargo o passageros.
physical-object;['lectiera'];Un lectiera o lecticula se usa pro lever patientes in hospitales o altere locos similar, in particular in medicina de emergentia.
physical-object;['rete local'];Un rete de area local es un rete computatorial coperiente un area local minor, como un domicilio, officio, o gruppo de edificios como un collegio.
physical-object;['torpedo'];Un torpedo es un arma moderne subaquee con un propulsion proprie e carga explosive.
physical-object;['cravata'];Un cravata es un typo de vestimento.
physical-object;['lancea'];Le lancea es un arma blanc, constituite per un longe barra con un puncta affilate.
physical-object;['bobsport'];Bobsport es un sport olympic.
physical-object;['endoscopo'];Un endoscopo es un instrumento utilisato in endoscopia.
physical-object;['pantofla'];Un pantofla es un typo de calceatura que se usa al pedes.
physical-object;['pumpa'];Un pumpa es un apparato o machina pro sublevar, pulsar, exhaurir, comprimer fluidos o gases per medios de piston, o un gruppo de ventos girante.
physical-object;['gilet'];Un gilet es un typo de vestimento.
physical-object;['artefacto'];Un artefacto designa in le archeologia et anthropologia un objecto fabricate per homine.
physical-object;['elastico'];Un elastico es un anello de gumma elastic pro p.ex.
physical-object;['vestito'];Un vestito es un typo de vestimento feminin.
physical-object;['gong'];Un gong es un asiatic instrumento de percussion, que ha le forma de un disco metallic, le qual es battite con un mallette.
physical-object;['drone'];Un drone es un aeromobile sin pilota que pote esser operate e navigate autonomemente per un computator sin equipage a bordo, o de terra per telecommando.
physical-object;['placa de matriculation de vehiculos'];Un placa de matriculation es un placa pro vehiculos con un combination de numeros e litteras pro poter identificar le proprietario de ille vehiculo.
physical-object;['flecha', 'sagitta'];Un flecha o sagitta es un projectil punctute que generalmente se tira con un arco o alcun altere typo de arma.
physical-object;['luge'];Luge es un sport olympic.
physical-object;['mitraliatrice'];Un mitraliatrice es un arma de foco completemente automatic pro tirar bollettas in succession rapide.
physical-object;['magnetophono'];Un magnetophono es un apparato que permitte registrar sonos super un banda magnetic.
physical-object;['disco compacte', 'cd'];Un disco compacte o "CD" es un disco plan e ronde usate pro immagazinar datos digital.
physical-object;['prothese'];Un prothese es in medicina un substituto artificial le qual reimplacia un parte del corpore absente.
physical-object;['pharmacia'];Le pharmacia es le scientia del medicamentos.
physical-object;['belfredo', 'campanario'];Un belfredo es un specie de turre typic pro multe citates in le west e medie de Belgica e le nord de Francia, alora in le Flandra historic.
physical-object;['espadrille'];Un espadrille es un typo de calceatura.
physical-object;['transistor'];Le termino transistor es le contraction de transfer resistor, isto es: resistor de transferentia.
physical-object;['diodo'];In electronica, un diodo es un typo of duo-terminal componente electronic con un nonlinear characteristica de currente e voltage.
physical-object;['sandalia'];Un sandalia es un typo de calceatura que se usa al pedes.
physical-object;['jachetta'];Un jachetta es un typo de vestimento.
physical-object;['polo'];Un polo es un typo de T-shirt.
physical-object;['rota'];Un rota es un objecto tornabile in forma de un disco con un contorno in forma de un circulo.
physical-object;['clarinetto'];Le clarinetto es un instrumento musical del familia del instrumentos de vento-ligno que consta ex un becco con linguetta simple.
physical-object;['saxophono'];Le saxophono es un familia de instrumentos musical de vento-ligno, ben que illo es usualmente fabricate de laton.
physical-object;['tailleur-pantalon'];Un tailleur-pantalon es un typo de vestimento feminin.
physical-object;['oboe'];Le oboe es un instrumento de vento.
physical-object;['bungalow'];Le bungalow es un domo simple e parve con un sol etage, multo popular in le suburbios de multe citates de America del Nord e America Central.
physical-object;['harmonica'];Le Harmonica es in instrumento musical de vento.
physical-object;['hippodromo'];Hippodromo es un loco de cursa de cavallos.
physical-object;['dirigibile'];Un dirigibile es un aeromobile orientabile cuje elevation es basate sur fortias aerostatic e que ha un proprie unitate de propulsion.
physical-object;['quincalieria'];Un quincalieria es usualmente un typo de supermercato specialisate in materiales pro bricolage.
physical-object;['piano', 'pianoforte'];Le piano es un del instrumentos le plus popular.
physical-object;['guitarra', 'gitarra'];Le guitarra es un instrumento musical de chordas con trastes, que usualmente ha sex chordas.
physical-object;['harpa'];Le harpa es un instrumento musical chordate que ha un numero de chordas a un angulo a su planca sonante. le chordas son pizzicate per le digitos.
physical-object;['citadella'];Citadella es le nomine que on da a alicun typo de fortalessa o fortification construite in un puncto strategic de un citate, visante su protection o domination.
physical-object;['turre'];Un turre es un edificio verticalmente orientate.
physical-object;['edificio'];Un edificio es un construction relativemente permanente, habente muros e tectos, usate pro le habitation o manufactura de productos.
physical-object;['submarino'];Un submarino es un nave capabile de operation independente sub le aqua.
physical-object;['preservativo', 'condom'];Le preservativo, etiam appellate condom es un objecto, usualmente in latex, trahite super le penis ante sexo, pro evitar pregnantias involuntate e maladias sexual.
physical-object;['horologio'];Un horologio es un instrumento usate de indicar, mesurar, e coordinar tempore.
physical-object;['perfumo'];Un perfumo es frequentemente un mixtura liquide componite de alcohol e fragrantias le qual es usate pro crear odores placente.
physical-object;['pharo'];Un pharo es un turre construite pro emerger lumine e pro servir como adjuta navigational pro naves.
physical-object;['yo-yo'];Un yo-yo es un joculo que consiste de duo discos connectite per un barra central.
physical-object;['transformator'];Un transformator es un apparato que transfere energia electric ab un circuito a un altere per conductores accopulate inductivemente — le bobinas del transformator.
physical-object;['transformator'];Un transformator es un apparato que transfere energia electric ab un circuito a un altere per conductores accopulate inductivemente — le bobinas del transformator.
physical-object;['stanford university', 'stanford universitate', 'universitate stanford'];Stanford University es un universitate statounitese situate in Stanford, California.
physical-object;['universitate oxonian', 'oxford university', 'universitate de oxford'];Le Universitate Oxonian es le plus ancian universitate Britannic.
physical-object;['princeton university', 'universitate de princeton', 'universitate princeton'];Le Universitate de Princeton es un universitate in Princeton, New Jersey, SUA, fundate in 1746.
physical-object;['aeronave', 'avion', 'machina volante'];Un aeronave es un machina que pote volar per ganiar le supporto del aer, o, generalmente, del atmosphera de un planeta.
physical-object;['ambulantia'];Un ambulantia es un vehiculo pro transportar personas malade vel lese in caso de necessitate ad hospital, in particular su sala de emergentia ubi le suffritor se tracta ab medicos de medicamenta, e varia remedias.
physical-object;['grattacelo'];Un grattacelo es un edificio de grande altitude.
physical-object;['nave'];Un nave es un grande embarcation flottante.
physical-object;['arco'];Un arco es un arma curvate, componite de un pecia de matiera flexibile e un corda tendite inter su duo extremitates, serviente a lancear flechas.
physical-object;['arma nuclear'];Un arma nuclear esse un arma que usa le energia producite per fission nuclear o fusion nuclear.
physical-object;['ponte'];Un ponte es un construction pro passar obstaculos physic tal como un corpore de aqua, valle, cammino etc..
physical-object;['apparato auditive'];Un apparato auditive es un expediente le qual meliora le audito de un persona con dishabilitate auditive.
physical-object;['helicoptero'];Un helicoptero es un aeromobile que leva et atterra verticalmente e transmitte le potentia del motor ad un o plure quasi horizontal disponite rotores pro le elevation e le propulsion.
physical-object;['aeroporto'];Un aeroporto es un station pro le passageros del aerolineas e pro le transporto de benes.
physical-object;['heliographo'];Le heliographo usa un speculo pro reflecter lumine solar a un observator distante.
physical-object;['mercato'];Un Mercato aut Loco Mercato es un location ubi le populus saepe assembla pro le emption e le vendita de provisiones, bestiales et alteres productos.
physical-object;['louvre', 'museo del louvre', 'musée du louvre'];Le Museo del Louvre in Paris es un del museos le plus importante e grande del mundo, aperite in 1793.
physical-object;['joculo'];Un joculo es un objecto con le qual on joca.
physical-object;['ceramica'];Ceramica es un material inorganic non-metallic que obtene su formation per calor.
physical-object;['pagoda'];Un pagoda es un turre a plure nivellos popular in China, Japon, Corea, Vietnam o altere partes de Asia.
physical-object;['basilica'];Un basilica es un typo de edificio.
physical-object;['astrolabio'];Un astrolabio es un instrumento de calculo e mesura astronomic a forma de un disco.
physical-object;['transformator'];Un transformator es un apparato que transfere energia electric ab un circuito a un altere per conductores accopulate inductivemente — le bobinas del transformator.
physical-object;['condensator', 'capacitor', 'capacitate'];Un capacitor, originalmente appellate condensator, es un componente electronic passive duo terminal usate pro immagazinar energia in un campo electric.
physical-object;['inductor', 'inductantia'];Un inductor es un passive duo terminal componente electronic usate de immagazinar energia in un campo magnetic.
physical-object;['resistor'];Un resistor es un linear, passive duo terminal componente electronic que actua resistentia electric como un elemento circuital.
physical-object;['tank'];Un tank esse un vehiculo militar cuirassate, create pro confrontar fortias inimic.
physical-object;['iglu'];Un iglu es un casa de neve a forma de cupola.
physical-object;['telephono'];Le telephono es un instrumento pro telecommunication que transmitte le voce como inviar de signales electric.
physical-object;['telescopio'];Un telescopio es un systema optic que permitte vider objectos lontan, tote allargante su mesura angular e su luminositate apparente.
physical-object;['microscopio', 'microscopo'];Le microscopio es un apparato optic de vider objectos non visibile a simple vista como per exemplo bacterios.
physical-object;['hardware'];Le material physic, machinario, o hardware indica le componentes physic de un computator.
physical-object;['ferrovia metropolitan', 'metropolitano'];Le metropolitano o metro, abbreviationes del termino Ferrovia metropolitan, es un systema electric de transporto per traino con alte capacitate de movimento de personas, que generalmente viagia subterraneemente, sed pote etiam passar per ferrovias de superficie, specialmente in citates multo populose.
physical-object;['lumine', 'luce', 'lumine vidibile'];Cum lumine vel luce on indica un radiation electromagnetic in un particular diapason
physical-object;['camion de pumperos', 'pumpa de incendios'];Un camion de pumperos es un vehiculo pro le combatto contra incendios.
physical-object;['scuto'];Un scuto es un arma defensive tenite al mano o ligate al carpo o al antebracio que servi a interceptar attaccos de corpore a corpore o projectiles como flechas.
physical-object;['mobile', 'mobiliario'];Un mobile es un objecto movibile in un accommodation intendite a supportar varie activitates human como seder, mangiar, dormir etc..
physical-object;['montgolfiere'];Un montgolfiere es un ballon ad aer calide.
physical-object;['cornamusa'];Le cornamusa es un instrumento musical aerophone, in le categoria de instrumentos bourdon, que significa, que le tonos music sona constantemente, sin interruption.
physical-object;['coffro'];Un coffro o arca es uno del plus vetere formas de mobile.
physical-object;['television'];Le television es un systema de telecommunicationes pro le diffusion a grande distantia de imagines animate e sono.
physical-object;['fabrica'];Un fabrica es un edificio pro le manufactura de productos.
physical-object;['jeans'];Un jeans es un typo de vestimento.
physical-object;['villa'];Un villa pote referer se ad edificios e residentias de varie typos e mesuras.
physical-object;['vestimento'];Vestimento esse ulle objecto que esse portate per le corpore pro coperir le corpore.
physical-object;['calceatura'];Calceatura es le termino generic que designa le totalitate de typos diverse de scarpas et etiam calceas.
physical-object;['botta'];Un botta es un typo de calceatura que se usa al pedes.
physical-object;['ecclesia'];Un ecclesia es un loco de assemblea de un congregation christian.
physical-object;['bicycletta', 'velocipede'];Un bicycletta, sovente appellate un cyclo, es un human-potite, pedal-propellite, singule-tracia vehiculo, habente duo rotas attachate a un structura, un post le altere.
physical-object;['accordion'];Le accordion es un instrumento musical que on comprime pro sonar, e on produce musica con le adjuta de un claviero e buttones.
physical-object;['contrabasso'];Le contrabasso es un instrumento musical de chordas.
physical-object;['laser'];Un laser, acronymo pro anglese: "light amplification by stimulated emission of radiation", interlingua: lumine amplificate per le stimulate emission de radiation, designa tanto le effecto physic como le dispositivo usate pro generar le radiation laser.
physical-object;['palatio'];Un palatio es un typo de edificio.
physical-object;['album'];Un album es un collection de registrationes de sonos.
physical-object;['wok'];Un wok es un specie de patella in forma de un volta que es usate specialmente in le arte culinari de Asia del est e sud-est.
physical-object;['pila de combustibile'];Un pila de combustibile es un cella electrochimic que converte le energia chimic de un combustibile e un oxydante a electricitate.
physical-object;['cappello'];Un cappello es un typo de vestimento.
physical-object;['arca del alliantia'];Le arca del alliantia esseva un coffro de ligno coperite per auro.
physical-object;['canoa'];Un canoa es un barca que se move con le pagaia in linea de vista.
physical-object;['campanil', 'campanario'];Un campanil es un turre, in le qual un campana o plure campanas es collocate.
physical-object;['turre', 'roc'];Le turre es un pecia de chacos que resimila un turre de castello.
physical-object;['radar'];Un radar es un systema de detection que utilisa undas de radio pro determinar le distantia, angulo o velocitate de objectos.
physical-object;['violino'];Le violino es le minime del grande familia de instrumentos musical de chordas.
physical-object;['synagoga'];Etymologia: Ab le gr.
physical-object;['dama'];Le dama es un pecia de chacos que forma con le rege le copula regal.
physical-object;['fortification'];Un fortification es alcun structura architectonic pro motivos de protection contra homines, animales o disastros natural.
physical-object;['rege'];Le rege es le plus importante pecia del joco de chacos.
physical-object;['arma', 'armas'];Un arma es omne typo de instrumento que permitte de attaccar o defender se contra un opponente.
physical-object;['station ferroviari', 'station de ferrovia', 'station'];Un station ferroviari es un location ubi trainos de un ferrovia se stoppa pro carga e discarga passageros o cargo.
physical-object;['internet', 'interrete'];Internet, o Interrete, es un rete de computatores a scala mundial de milliones de computatores.
physical-object;['frac'];Un frac es un typo de vestimento.
physical-object;['sustenepectore', 'brassiere'];Le sustenepectore o brassiere es un elemento del subvestimentos feminin, acte a coperir, proteger, e sustener le pectore.
physical-quality;['recta', 'linea recte', 'linea'];Le notion de recta era introducite per le mathematicos ancian pro representar objectos recte con latitude e profunditate negligibile.
physical-region;['iride', 'iris', 'arco de sancte marco'];Un iride o iris o arcoiris es un arco de color in le celo que on pote vider quando le sol brilla a transverso de pluvia cadente.
plan;['activismo'];Activismo es un activitate visate a producer un cambiamento social o politic et es frequentemente intendite etiam como synonymo de protesto.
political-geographic-object;['romania', 'rumania'];Romania es un pais in le sud-est de Europa.
political-geographic-object;['orlando, florida', 'orlando'];Orlando es un citate in le contato Orange, Florida, Statos Unite de America.
political-geographic-object;['braunschweig'];Braunschweig es un citate in Basse Saxonia in le nord de Germania.
political-geographic-object;['florentia', 'firenze'];Florentia es un citate del region Toscana situate in le centro-west de Italia.
political-geographic-object;['lyon'];Lyon, localisate in le sud-est de Francia, super le riviera del Rhodano, es le secunde maxime citate de Francia, post Paris.
political-geographic-object;['nanjing'];Nanjing es le capital del provincia de Jiangsu, in China.
political-geographic-object;['bruges', 'brügge'];Bruges es un citate belge.
political-geographic-object;['basel', 'basilea'];Basel es un citate de Switza con circa 200.000 de habitantes pretende – post Zurico e Geneva – le tertie rango inter le centros urban del pais.
political-geographic-object;['edirne'];Edirne es un grande urbe in Turchia e un capital provincial, con circa 160.000 habitantes.
political-geographic-object;['cincinnati, ohio', 'cincinnati'];Cincinnati es un citate de Ohio, Statos Unite de America, in le contato Hamilton.
political-geographic-object;['ho chi minh citate', 'ho chi minh city'];Ho Chi Minh City es un citate de circa 7 184 000 habitantes e le capital de Republica
political-geographic-object;['nice', 'nizza'];Nice es un citate francese, situate al sud-est del pais, in le departamento de Alpes-Maritimes in le region de Provence-Alpes-Côte d'Azur.
political-geographic-object;['nuremberg', 'nürnberg'];Nuremberg es le secunde grande citate in Bavaria, Germania.
political-geographic-object;['los angeles', 'los angeles, california'];Los Angeles es le plus grande citate in le contato Los Angeles, California, Statos Unite de America, e le secunde plus grande in le Statos Unite de America.
political-geographic-object;['stuttgart'];Stuttgart es le citate capital de Baden-Württemberg in le sud-west de Germania en un citate-districto.
political-geographic-object;['pittsburgh, pennsylvania', 'pittsburgh'];Pittsburgh es un citate de Pennsylvania, Statos Unite de America, in le contato Allegheny.
political-geographic-object;['brighton'];Brighton es un citate costari situate in le sud de Anglaterra.
political-geographic-object;['utrecht'];Utrecht, le capital de le provincia del mesmo nomen, es situate al centro de Paises Basse.
political-geographic-object;['perm'];Perm es un citate in Russia, le capital regional del Region Perme, situate al ripas de riviera Kama.
political-geographic-object;['sancte petersburg', 'sancte petroburgo'];Sancte Petroburgo, etiam note simplemente como Petroburgo, esse un citate federal de Russia.
political-geographic-object;['pisa'];Pisa es un citate italian, a 72 kilometros west de Firenze in le region Toscana, preter le riviera Arno a 10 kilometros de ubi le riviera curre a in le Mar Ligure.
political-geographic-object;['verona'];Verona es un urbe in Italia del Nord al orlo inter le plana Po e le Alpes, a 25 kilometros est del parte sud del Laco de Garda.
political-geographic-object;['essen'];Essen es un citate-districto in le region administrative-governamental de Düsseldorf de Rhenania del Nord-Westfalia in le west de Germania e un parte del Region del Ruhr.
political-geographic-object;['mecca'];Mecca esse un citate in le regno historic de Al-Hejaz, le capital del provincia de Makkah in le nation de Arabia Saudita, e notabilemente es le plus sancte citate in le religion Islam.
political-geographic-object;['hangzhou'];Hangzhou es le capital del provincia de Zhejiang, in China.
political-geographic-object;['gdańsk', 'gdansk'];Gdańsk es un citate europee, le capital del voivodato Pomerania, in Polonia.
political-geographic-object;['colonia', 'köln'];Colonia es le citate-districto le plus grande de Rhenania del Nord-Westfalia in Germania.
political-geographic-object;['corea del nord'];Corea del Nord, officialmente le Republica Popular Democratic de Corea, es un stato que coperi le medietate nord del peninsula corean, in le nord-est de Asia.
political-geographic-object;['norvegia', 'kongeriket noreg', 'kongeriket norge', 'noreg', 'norge', 'norvega'];Norvegia es un pais in Scandinavia in Europa que limita con Svedia in le est e con Finlandia e Russia in le nord-est.
political-geographic-object;['pais basse', 'nederlandia', 'nederland', 'paises basse', 'hollanda'];Le Pais Basse o Nederlandia es un stato membro de Union Europee que se trova in Europa Occidental.
political-geographic-object;['lesotho'];Lesotho es un regno independente sin accesso al mar e circumferite completemente per le Republica de Africa del Sud.
political-geographic-object;['japon', 'japan', 'japonese', 'japonia'];Japon es un pais de Asia del Est.
political-geographic-object;['monaco'];Monaco es un parve principato in le sud de Europa.
political-geographic-object;['samoa'];Le Stato Independente de Samoa es un pais que comprende le parte occidental del Insulas Samoan in le Oceano Pacific del Sud.
political-geographic-object;['republica centroafrican', 'republica african central', 'republica centrafrican'];Le Republica Centroafrican es un pais situate in Africa.
political-geographic-object;['djibouti', 'djibuti', 'jibuti'];Le Republica de Djibouti es un pais in Africa oriental.
political-geographic-object;['malaysia'];Malaysia es un pais de Asia.
political-geographic-object;['namibia'];Le Republica de Namibia es un pais in Africa austral situate al bordo del Oceano Atlantic.
political-geographic-object;['antigua e barbuda'];Antigua e Barbuda es un pais in le Indias Occidental.
political-geographic-object;['mauritania'];Mauritania es un pais francophone e arabophone del Africa del West.
political-geographic-object;['belize'];Belize es un pais in America Central, al sud de Mexico e al est de Guatemala.
political-geographic-object;['guinea equatorial'];Le Republica de Guinea Equatorial es un pais de Africa Central.
political-geographic-object;['sancte christophoro e nevis', 'saint-kitts e nevis', 'saint kitts and nevis'];Le Federation de Sancte Christophoro e Nevis es un parve regno independente que consiste de duo insulas, Sancte Christophoro e Nevis, situate in le Parve Antillas.
political-geographic-object;['comores', 'comoras', 'comoros'];Le Union del Comores, usque 2002 nominate le Republica Federal Islamic del Comores, es un pais insular in le oceano Indian, situate al extremitate nord del canal de Mozambique inter Madagascar e Mozambique.
political-geographic-object;['dominica'];Le Commonwealth de Dominica es un pais independente in le Mar Caribe, situate inter le insulas francese de Guadeloupe e Martinica.
political-geographic-object;['north yorkshire'];North Yorkshire es un contato de Anglaterra.
political-geographic-object;['entitate territorial administrative'];Entitate territorial administrative: pais provincia union == Nomines de instantias in linguas de control de interlingua == Frequentamente esse construite con of/de/di, p.e.
political-geographic-object;['districto federal'];Un districto federal es un territorio que esse sub le soveranitate de un stato federal sin esser parte de ulle stato o provincia integrate del federation.
political-geographic-object;['anglaterra', 'anglia'];Anglaterra o Anglia es un del tres paises del Grande Britannia, e dunque face parte del Regno Unite.
political-geographic-object;['irlanda del nord'];Irlanda del Nord es un del quatro territorios constituente del Regno Unite, e le sol que non es situate in le insula de Grande Britannia.
political-geographic-object;['suissa', 'switza', 'confederation helvetic', 'helvetia', 'ch', 'confederation suisse', 'confederation switze'];Le Confederation Switze es un pais in Europa central cuje vicinos es Germania al nord, Francia al west, Italia al sud, e Austria e Liechtenstein al est.
political-geographic-object;['emiratos arabe unite'];Le Emiratos Arabe Unite es un federation de septe emiratos in le sud-est del Peninsula Arabic in Asia.
political-geographic-object;['union sovietic', 'union de republicas sovietic socialista', 'urss'];Le Union sovietic esseva un union federalista, dominate de Russia.
political-geographic-object;['frankfurt am main', 'frankfurt', 'francoforte super le moeno'];Frankfurt am Main es le urbe le plus grande in le stato Hesse in Germania, e le quinte in Germania integre.
political-geographic-object;['frankfurt am main', 'frankfurt', 'francoforte super le moeno'];Francoforte super le Moeno, o simplemente Francoforte, es le urbe le plus grande in le stato Hesse in Germania, e le quinte in Germania integre.
political-geographic-object;['luxemburg', 'luxemburgo'];Luxemburg o le Granducato de Luxemburg o es un pais del centro de Europa, membro del Union Europee.
political-geographic-object;['cornuallia'];Cornuallia es un contato de Anglaterra, notabile pro su plagias de sablo, su patrimonio maritime, su climato agradibile, e le lingua cornuallese traditionalmente parlate la.
political-geographic-object;['marocco', 'marroco', 'morocco'];Patrono:Infobox entitate territorial administrative Map of Morocco before 1975 Map of Morocco before 1975 Marocco, officialmente Regno de Marocco es un nation in Africa del nord, con costas in le Oceano Atlantic e in le Mar Mediterranee.
political-geographic-object;['regno unite'];Le Regno Unite, o in forma longe Regno Unite de Grande Britannia e Irlanda del Nord es un pais in nord-west Europa que forma parte del Union Europee.
political-geographic-object;['espania', 'españa', 'regno de espania'];Le Regno de Espania es un stato soveran con monarchia parlamentari.
political-geographic-object;['arabia saudi', 'arabia saudita', 'saudi arabia'];Arabia Saudita es un pais in le Oriente Medie.
political-geographic-object;['tchad', 'chad'];Le Republica de Tchad o Republica de Chad es un pais in Africa Central.
political-geographic-object;['tadzhikistan', 'tajikistan'];Tajikistan es un pais situate in Asia Central.
political-geographic-object;['uganda'];Uganda es un pais de Africa.
political-geographic-object;['bielorussia', 'belarus'];Le Republica de Bielorussia o Belarus es un pais de Europa Oriental, circumferite per Polonia, Ukraina, Russia, Lettonia e Lituania.
political-geographic-object;['malawi'];Malawi es un parve pais in Africa del sud-est, circumferite per Mozambique a tres lateres, per Zambia al nord-west e per Tanzania al nord.
political-geographic-object;['zimbabwe'];Zimbabwe es un pais in le sud de Africa.
political-geographic-object;['azerbaidjan', 'azerbaidzhan', 'azerbaijan'];Azerbaidzhan es un pais in Asia occidental.
political-geographic-object;['kirghizistan', 'kyrgyzistan', 'republica kirghiz'];Kyrgyzistan o Kirghizistan, officialmente le Republica Kyrgyz, es un pais situate in Asia Central.
political-geographic-object;['uzbekistan'];Uzbekistan es un pais situate in Asia Central.
political-geographic-object;['mali'];Mali es un pais francophone del Africa del West, inglobante partes del Sahara, Sahel e valle del Niger.
