abstract-quality;['индивидуалдық'];Индивидуалдық - 1.
information-encoding-system;['мелодрама'];Мелодрама
information-encoding-system;['дамыту'];Дамыту - алдыңғы сөзден соңғы сөздің, алдыңғы ой-пікірден кейінгі лебіздің, әдепкі құбылыстан екінші құбылыстың екпін қуатының күшейіп, өсіп отыруы.
information-encoding-system;['оксюморон'];Оксюморон — бірін-бірі теріске шығаратын қарама-қайшы ұғымдардан, мағынасы жағынан қарама-қарсы сөздерден құралып, соншалықты соны, тапқырлық, көркемдік әсер, образды ұғым тудыратын біртұтас сөз тізбегі, стильдік тәсіл.
information-encoding-system;['кеннинг', 'kenning'];Кеннинг — көне норвег әдебиетінде поэзияда қолданылатын метафоралық сөйлемшенің атауы.
information-encoding-system;['трагедия'];Трагедия – драмалық жанрдың бір түрі.
information-encoding-system;['троп', 'құбылту'];Троп (гр.
information-encoding-system;['комедия'];Комедия (гр.
information-encoding-system;['поэзия'];Поэзия(гр.
information-encoding-system;['мақала'];Мақала
information-encoding-system;['проза'];Проза (лат.
information-encoding-system;['эпифора'];Эпифора - өлең тармақтарының соңында бір сөздің тіркесінің бірнеше қайталанып келуі.
information-encoding-system;['интонация'];Интонация(лат.
information-encoding-system;['жаргон'];Жаргон (ағылш.
information-encoding-system;['синекдоха'];Бұл метонимияға жақын, өйткені синекдоха да екі ұғымның іргелестігі арқылы жасалады.
information-encoding-system;['фразеология'];Фразеология
information-encoding-system;['екпін'];Екпін — сөйлем ішіндегі кейбір сөздердің немесе сөз ішіндегі кейбір буын, дыбыстардың басқа тілдік бөліктерден ерекшеленіп, көтеріңкі айтылуы.Екпін сөз екпіні, ой екпіні, тіркес екпіні, дыбыс екпіні деп бөлінеді.
information-encoding-system;['архаизм'];Архаизм - көнерген сөздер.
information-encoding-system;['литота'];Литота (гр.
information-encoding-system;['қайталақтау'];Қайталақтау, немесе тавтология — сөзді я пікірді сөзбе-сөз немесе мағынасы соған жуық сөздермен қайталап айту.
information-encoding-system;['плеоназм'];Плеоназм (гр.
information-encoding-system;['көп жалғаулылық'];Көп жалғаулылық — стилистикалык максатка байланысты ойдынәсерлігін арттыру мәнінде бірынғай мүшелі сөйлемдерде жалғаулыктарды кеп колданылуы.
information-encoding-system;['еліктеу сөз', 'бейнелеуіш сөздер', 'еліктеу сөздер', 'еліктеуіш сөздер'];Еліктеу сөздер — табиғат құбылыстары мен жан-жануарларда болатын әр алуан дыбыстарға және олардың сын-сипат, қимыл-әрекеттеріне еліктеуден туған сөздер.
information-object;['мәтіндік файл', 'txt'];Мәтіндік файл — құрамында құрылымдалмаған түрдегі ақпарат мәтіні бар файл. әріптерден, цифрлардан және тыныс белгілері мен арнайы символдардан құрастырылған қарапайым мәтіндік файл. онда каретканы қайтару мен келесі жолға ауысудан өзге басқару таңбалары болмайды.
information-object;['файл'];Файл (ағылш.
information-object;['белгіше'];Белгіше (ағылш.
information-object;['артикль'];Артикль (лат.
information-object;['аллофона', 'аллофон'];Аллофона гр.
information-object;['фонема', 'тіл дыбыстары'];Фонема (грек.
information-object;['сөз түбірі', 'сөздің негізі'];Түбір морфема - сөздің әрі қарай бөлшектеуге келмейтін ең түпкі негізі.
information-object;['сөз түбірі', 'сөздің негізі'];Сөздің негізі орыс.
information-object;['көп нүкте', '…'];Көп нүкте — белгілі бір себептермен ойдың аяқталмай қалғандығын немесе айтылмақшы пікірдің толық айтылмағандығын білдіру үшін қойылатын тыныс белгі.
information-object;['бос орын'];Бос орын — баспаға немесе экранға шығарғанда оның тұрған орнында кескін шығыспайтын таңба.
information-object;['радио'];Радио (лат.
information-object;['грин-карта'];Грин-карта
information-object;['логотип'];Логотип - фирманың немесе ұйымның өз тауарын таңбалау үшін ұдайы пайдаланатын тауар белгісі.
information-object;['аффрикат'];Аффрикат ( лат.
information-object;['фарингал дауыссыздар'];Фарингал дауыссыздар орыс Фарингальные согласные— көмей дауыссыздары.
information-object;['үзілмелі дауыссыздар'];Үзілмелі дауыссыздар орыс взрывные согласные — кapa Шұғыл дауыссыздар.
information-object;['анықтауыш'];Анықтауыш деп сөйлемде негізінде зат есімнен болған мүшені сын, сапа, сан, мөлшер және меншіктік жағынан сипаттайтын тұрлаусыз мүшені айтады.Анықтауыштар қандай?
information-object;['саңылау (шұғыл) дауыссыздар', 'саңылау дауыссыздар'];Санылау дауыссыздар орыс.
information-object;['тильда', '~', '˜', '◌̃', '◌̰', '◌̴', '～'];Тильда - лингвистикалық транскрипцияда әртүрлі мәңдерде, соңдай-ак сөздіктерде қайталанған сездерді немесе бөліктерді белгілеу үшін қолданылатын қысқа толқынды сызықша түріндегі диакритикалық белгі.
information-object;['phd-доктор'];PhD-доктор
information-object;['эпитет'];Эпитет (грек.
information-object;['бүркеншік ат', 'лақап ат'];Бүркеншік ат, лақап ат, псевдоним
information-object;['тауар таңбасы', 'тауар белгісі'];Тауар белгісі – бір заңды немесе жеке тұлғаның тауарларын немесе көрсететін қызметтерін екінші бір заңды немесе жеке тұлғалардың осы тектес тауарларын немесе көрсететін қызметтерінен ажыратуға мүмкіндік беретін таңба.
information-object;['есімдік'];Есімдіктер - заттың атын, сынын, санын,олардың аттарын білдірмейтін, бірақ солардың орнына жұмсалатын сөз табы.
information-object;['идеограмма'];Идеограмма - қандай да бір тілдің дыбысы емес, әріптен айырмасын көрсететін жазба таңба.
information-object;['пиктограмма'];Пиктограмма
information-object;['гот жазуы'];Гот жазуы - әріптері бұрышталып, сүйірленіп, ұзынша болып келген латын жазуының графикалық бір түрі.
information-object;['суперэкслибрис', 'ex libris'];Суперэкслибрис - басылым иесі таңбалау үшін басылымның түптерінде немесе түптем беттерінің ішкі жағында оттисктелген белгі, таңба.
information-object;['жер бедерін бейнелеу сызықтары'];Жер бедерін бейнелеу немесе изосызықтар — картада, сызбада немесе сызба кестеде шартты түрде жергілікті жер бетінің жазықтығын сызықпен белгілеу.
information-object;['аффикс'];Аффикс ( лат.
information-object;['акут', 'ˊ', '◌́'];Акут (лат.
information-object;['іскерлік басқару магистрі', 'master of business administration', 'mba'];Іскерлік басқару магистрі, MBA - менеджмент саласындағы академиялық дәреже.
information-object;['лексема'];Лексема(грек.
information-object;['әке текті есім'];Әке текті есім
information-object;['бренд'];Бренд (ағылш.
information-object;['ә'];Ә — қазіргі қазақ алфавитіндегі екінші әріп, ауыздың мол ашылып, тіл мен иектің төмен түсуінен пайда болатын жіңішке ашық дауысты,езу дыбысының таңбасы.
information-object;['масдар'];Масдар — араб тіліндегі қимылды не күйді білдіретін етістіктен жасалған есім.
information-object;['кадастр'];Кадастр – I. экономикада – елдің, мемлекеттің экономикалық ресурстары туралы негізгі мәліметтердің дүркін-дүркін немесе үздіксіз бақылау негізінде жүйеге келтіріліп, ресми түрде жасалған жиынтығы.
information-object;['леп белгісі', '!'];Лепті белгісі - жазуда пайдалынатын тыныс белгілерінің бірі.
information-object;['дефис', 'сызықша', '—'];Дефис (лат.
information-object;['дефис', 'сызықша', '—'];Сызықша - жай және құрмалас сөйлемдерде қолданылатын және бөлу-ажыратудың инвариантты семантикалық-синтаксистік мәнімен біріктірлеген көп түрлі функцияларды атқаратын ұзын келбеу сызықша түріндегі тыныс белгісі.
information-object;['нүкте'];Нүкте - жазуда пайдалынатын тыныс белгілерінің бірі.
information-object;['нүктелі үтір', '.'];Нүктелі үтір - жазуда пайдалынатын тыныс белгілерінің бірі.
information-object;['сұрау белгісі', '?', 'сұрақ белгісі'];Сұрау белгісі - жазуда пайдалынатын тыныс белгілерінің бірі.
information-object;['тырнақша'];Тырнақша — жазуда пайдалынатын тыныс белгілерінің бірі.
information-object;['хроника'];Хроника – журналистиканың ақпараттық жанрларына жататын шағын ақпараттық мақала.
information-object;['аббревиатура', 'қысқарған сөз'];Аббревиатура
information-object;['логограмма'];Логограмма
information-object;['символдарды жолға пропорционал үлестіру', 'қаріп'];— типографиялық қорытпадан, ағаштан немесе пластмассадан жасалған, бір шетінде әріптің, санның не басқа да белгінің бейне бедері берілген тік бұрышты кесек.
information-object;['символдарды жолға пропорционал үлестіру', 'қаріп'];Символдарды жолға пропорционал үлестіру — еніне байланысты символдарға әр түрлі кеңістік бөліп беретін баспа түрі.
information-object;['дауыстылар', 'дауысты дыбыс'];Түсіп қалған дауыстылар - морфемада тек каңа белгілі фонетикалық позицияда кездесетін дауыстылар
information-object;['дауыссыз дыбыстар', 'дауыссыз дыбыс'];Дауыссыз дыбыстар орыс.
information-object;['жұлдызша'];Жұлдызша — программалау тілдерінде көбейту амалының белгісі ретінде және т.б.
information-object;['репер'];Репер
information-object;['бейдж'];Бейдж немесе бедж
information-object;['пошта маркасы', 'марка'];Пошта маркасы — пошталық жөнелтілімдердің жіберілу, тасымалдау, табыс ету ақыларының төленгенін білдіретін белгі.
information-object;['латын әліпбиі'];Латын әліпбиі, әлемде кеңінен қолданылады.
information-object;['аллографа'];Аллографа - нақты манифестациялық графеманың бір түрі.
information-object;['аллегория', 'аллегорлау'];аллегория,, — оқырманның не көрерменнің санасына, қиялына ерекше әсер ететіндей, образ жасаудың бейнелеуші құралы, көркемдік тәсіл.
information-object;['бағдаршам'];БАҒДАРШАМ — жарықпен белгі беру арқылы көшедегі, автомобиль жолы мен темір жолдағы қозғалысты реттеуге арналған құрылғы.
information-object;['дифтонг'];Дифтонг (гр.
information-object;['аблаут'];Аблаут (нем.
information-object;['квантор'];Квантор (лат.
information-object;['кірме сөздер', 'кірме сөз'];Кірме сөздер - тіларалық қарым-қатынас нәтижесінде бір тілден екінші тілге ауысқан бөгде тілдік элементтер
information-object;['контаминация', 'біріккен сөздер'];Контаминация
information-object;['шартты белгі'];Шартты белгі - жинақты каталогтарда, библиофафиялық көрсеткіштерде қолданылатын және кітапханааралық акпараттық іздестіру жүйелеріндегі құжаттардың тұрған орнын көрсететін кітапхананың қысқаша шартты белгісі.
information-object;['пысықтауыш'];Пысықтауыш деп сөйлемде іс-әрекеттің жай-күйін, сын-сипатын, мөлшерін, мезгіл-мекенін, себеп-мақсатын білдіретін тұрлаусыз мүшені атаймыз.
information-object;['галлицизм'];Галлицизм
information-object;['анаграмма'];Анаграмма
information-object;['деминутив'];Деминутив
information-object;['үстеу', 'шылау'];Үстеу заттың әр қилы қимылы мен ісінің әр түрлі сындық, бейнелік, мекендік, мезгілдік, шарттық, мөлшерлік күй-жайлары мен сынның белгісін білдіретін сөз табы.
information-object;['сөз табы'];Сөз табы деп жалпы лексика-грамматикалық сипаттары мен белгілері бәріне бірдей ортақ болып келетін сөздердің тобын атаймыз.
information-object;['тосын сөздер'];Тосын сөздер, окказионал сөздер
information-object;['аударма', 'көркем аударма'];Аударма — бір тілде бейнеленген мазмұнды екінші бір тілге әрі дәл әрі толық қайталай бейнелейтін тілдік қимыл.
information-object;['меморандум'];Меморандум -
information-object;['графема'];Графема ( гр.
information-object;['апокопа'];Апокопа (гр.
information-object;['өмірбаян'];Өмірбаян – жеке адамның өмір жолы хронологиялық тәртіпте қысқаша жасалған ресми құжат.
information-object;['префикс'];Префикс (лат.
information-object;['ғылыми дәрежелер мен атақтар'];Ғылыми дәрежелер мен атақтар - жоғары білімді мамандарға берілетін, олардын ғылыми біліктілігін, ғылым, техника және мәдениет саласындаәы жетістіктерін анықтайтын.
information-object;['этикетка', 'label'];Этикетка - тауардағы, экспонаттағы және т.б дайындаушының атауы мен мекен-жайы, тауардың аты, тұтынушылық құрамы мен сапасы, бағасы және т.б.
information-object;['sos'];SOS — Морзе әліпбиі арқылы радиотелеграф байланысында таратылатын халықаралық апат дабылы.
information-object;['спектрлік сызық'];Спектрлік сызық - белгілі бір кванттык өтуге сәйкес келетін кванттык жүйенін жұгу немесе шығару спектріндегі сызық.
information-object;['сигнификат', 'сигнал'];Сигнификат
information-object;['басқарушы символ'];Басқарушы символ — 1
information-object;['контекст'];Контекст (лат.
information-object;['жақша', ')', '[', ']', '{', '}', '⁅', '⁆', '❨', '❩', '❪', '❫', '❬', '❭', '❮', '❯', '❰', '❱', '❲', '❳', '❴', '❵', '⟨', '⟩', '⟪', '⟫', '⟬', '⟭', '⟮', '⟯', '〈', '〉', '【', '】', '〔', '〕', '〖', '〗', '〚', '〛', '﹙', '﹚', '（', '）', '［', '］', '｛', '｝', '｟', '｠', '('];Жақша — жұптанып қолданылатын тыныс белгісі.
information-object;['морфема', 'постфикс'];Морфема (гр.
information-object;['докторантура'];Докторантура – жоғары оқу орындары мен ғылыми мекемелердің біліктілігі жоғары ғылыми және ғылыми-педагог кадрларды – ғылым докторларын даярлау бөлімі.
information-object;['программа басылмасы'];Программа басылмасы — аударғышпен берілетін алғашқы
information-object;['дәлелдеу'];Дәлелдеу немесе дәлелдеме – теореманың немесе бір ұғымның ақиқаттығын негіздеу бағытында қорытындылардың ой ой тұжырым.
information-object;['ص'];с̣а̄д Араб әліппесінің он төртінші әрпі.
information-object;['анамнез', 'сырқатнама'];Сырқатнама - ауру ағымын, дәрігердің барлық тағайындаған емін, оның нәтижесін және сырқаттамасын тіркейтін негізгі құжат.
information-object;['анамнез', 'сырқатнама'];Анамнез - адаммен тиімді жұмысты ұйымдастыру мақсатында әртүрлі әдістермен алынған ол жөніндегі мағлұматтардың жиынтығы.
information-object;['әріп'];Әріп—дыбыстың графикалық таңбасы.
information-object;['тәж'];Тәж — елтаңбалық қалқанның үстінде орналасатын геральдикалық элемент.
information-object;['тек, ата-тек, әулет есім'];Азаматтық құқық бойынша — азаматтың есімінің құрамдас бөлігі. мұраға алынған немесе адамның сәйкес келетін отбасыға немесе текке тиістілігін анықтайтын некеге тұру нәтижесінде алынған атау.
information-object;['америка құрама штаттарының туы', 'америка құрама штаттары туы', 'ақш туы'];АҚШ мемлекеттік туы, сонымен қатар Жұлдызды-жолақты ту
information-object;['свастика', '卐'];Свастика - тең ұшты тік бұрышпен иілген крест түріндегі солярлы белгі, ежелгі үнді культының діни белгілерінің бірі, әлемдегі ең көне әрі ең көп танылған графикалық символдардың бірі.
information-object;['соль', 'sol'];Соль
information-object;['ре', 're'];Ре
information-object;['ля', 'la'];Ля
information-object;['си', 'si'];Си (лат.
information-object;['ми', 'mi'];Ми
information-object;['кәсіби лексика'];Кәсіби лексика - белгілі бір мамандық, кәсіп аумағында қолданылатын және сол мамандықтың адамдарына ғана түсінікті болып келетін сөздер.
information-object;['омоним', 'омонимия'];Омонимдер(гр.
information-object;['омоним', 'омонимия'];Омонимия (гр.
information-object;['омофон'];Омофон (гр.
information-object;['синоним', 'синонимдер'];Синоним (гр.
information-object;['антоним', 'антонимдер', 'қайшы сөздер'];Антоним (гр.
information-object;['сигнатура'];Сигнатура — алгебралық жүйе үшін — қатынастар мен пікірлердің, сондай-ақ негізгі жиын жүйесінде анықталған операциялардың жиынтығы.
information-realization;['команда'];Команда — 1операндыны
information-realization;['компилятор'];Компилятор — 1алгоритмдік тілдер, түсіндіргіш, аударғыш
information-realization;['драйвер'];Драйвер
information-realization;['бағдарлама', 'компьютерлік бағдарлама', 'компьютер бағдарламасы', 'компьютер программасы', 'программа'];Компьютер бағдарламасы
information-realization;['бағдарлама', 'компьютерлік бағдарлама', 'компьютер бағдарламасы', 'компьютер программасы', 'программа'];Бағдарлама
information-realization;['символдардың стандартты кестесі', 'ascii', 'ascii кеңейтуі'];Символдардың стандартты кестесі — ақпарат алмасудағы америкалық стандартты кодтар негізінде даярланған символдардың стандарттық түрдегі кодтық кестесі.
information-realization;['көлденең микрокод'];Көлденең микрокод — әрбір разряд ақпараттың бірлігін алуға немесе беруге қабілетті желі элементіне сөйкес келетін екілік разрядтардың тізбегі.
information-realization;['операциялық жүйелер', 'операциялық жүйе', 'operating system', 'амалдық жүйе', 'операциялық жүйесі'];Операциялық жүйе
information-realization;['сілтеме'];Сілтеме — 1
information-realization;['бағдарламалық жасақтама', 'бағдарлама жасақтамасы', 'софт'];Бағдарламалық өнім
information-realization;['конвенция'];Конвенция - лат.
information-realization;['махабхарата', 'mahabharata', 'махабһарата'];“Махабхарата” — үнді халқының эпосы.
information-realization;['бхагавадгита'];Бхагавадгита - «Бхагавата туралы жыр» — «Махабхарата» эпосында Вишну құдай көрінісі болып есептелетін Кришнаның Арджунамен әңгімеде өзінің философиялық ілім.
information-realization;['лига'];Лига
information-realization;['субдоминанта'];Субдоминанта
information-realization;['діни қиссалар', 'parabolă'];Діни қиссалар - Пайғамбарлар мен әулие-әмбиелер, періштелер мен сахабалар, т.б.
information-realization;['гистограмма'];Гистограмма
information-realization;['кончерто гроссо', 'concerto grosso'];Кончерто гроссо
information-realization;['келісім-шарт', 'шарт', 'келісімшарт'];Келісім-шарт - сыртқы саудада бір жақ келісімшартта көрсетілген мүлікті, ғылыми-техникалық білімді екінші жақтың меншігіне беруге міндеттенетінін, ал екінші жақ өз кезегінде бұл мүлікті немесе білімді көрсетілген мерзімде алып, белгіленген бойынша төлеуге міндетгенетінін көрсететін құжат.
information-realization;['баркарола'];Баркарола — алғашында венециялық гондольерлер әні, кейіннен кең тараған музыка жанры.
information-realization;['тезаурус'];Тезаурус — дескрипторлы ақпараттық іздестіру тілінің лексикалық бірліктер арасындағы семантикалық қарым-қатынасын бейнелеп көрсетіп және мағыналы мазмұнына қарай сөзді іздестіретін автоматтандырылған сөздік.[1]
information-realization;['бестселлер'];Бестселлер – 1976-1977 жылдары аралығында аса әйгілі романдардың экранға шығуына орай пайда болған термин. "Эи-би-си" тележүйесінің апта сайынғы сериясының атауы.
information-realization;['анықтамалық басылым'];Анықтамалық басылым - тез тауып алатындай етіп баяндалған, безендірілген және орналастырылған ғылыми, ғылыми көпшілік, үгіт-насихаттық немесе қолданбалы сипаттағы қысқаша мәліметтері бар басылым.
information-realization;['дебентура'];Дебентура - жабдықталмаған ұзақ мерзiмдi борыштың барлық форма жататын термин тәуелсiз мiндеттемелер болып табылады: әдетте бұл терминмен серiктестiк босатылған мiндеттеме түсiнетiндiгiменнен, корпорация немесе мемлекеттiк.
information-realization;['арго'];Арго (фр.
information-realization;['жұлдыздық карталар'];Жұлдыздық карталар – жұлдыздық аспанның немесе оның бөлігінің картасы.
information-realization;['пошта индексі', 'пошта белгілемесі', 'пошта белгісі', 'пошта индекстері'];Пошта индексі — хат тасымалдау ісін сұрыптауды жеңілдету мақсатында пошта мекенжайына қосымша жазылатын әріптер мен сандардың бірізділігі.
information-realization;['антология'];Антология(гр.
information-realization;['аккорд'];Аккорд биіктігі әр-түрлі бірнеше, үштен кем емес, дыбыстардың бір уақытта қосыла орындалуы.
information-realization;['пресс-конференция'];Пресс-конференция - арнайы, мемлекеттік, қоғам қайраткерлерінің, ғалымдардың баспасөз, радио, теледидар өкілдерімен кең қоғамдық мәселелерді талқылауы.
information-realization;['телеконференция'];Телеконференция
information-realization;['икона', 'икон'];Икона (орта гр.
information-realization;['кітап', 'кітаптар'];Кітап — мерзімсіз баспасөз басылымы. көркем-әдеби, қоғамдық-саяси, ғылыми-практикалық мазмұндағы туынды.
information-realization;['фальсификация'];Фальсификация - [ лат.
information-realization;['реляциялық деректер қорларын басқару жүйесі', 'rdbms'];Реляциялық деректер қорларын басқару жүйесі - IBM Almaden Research Center лабороториясында И Ф Кодд өндірген дерекқор басқару жүйесі.
information-realization;['бастырма'];Басқа мағыналар үшін Бастырма деген бетті қараңыз.
information-realization;['гороскоп'];Гороскоп
information-realization;['минор'];Минор (итал.
information-realization;['мажор'];== Мажор ==
information-realization;['аударма сөздік'];Аударма сөздік — лингвистикалық сөздіктің бір түрі.
information-realization;['американдық парламенттік формат', 'америкалық парламенттік формат', 'жарыссөз', 'пікірталас'];Америкалық Парламенттік Формат – бұл парламенттік тұрпаттағы дәйектердің, тапқырлықтың және риторикалық қасиеттердің сайысы.
information-realization;['хартия'];Хартия - [грек, chartes - папирустан жасалған қағаз, папирусқа жазылған қолтаңба] - грамота, көпшілік халық қозғалысының негізгі талаптарын білдіретін саяси қүжат.
information-realization;['аударма вексель'];Аударма вексель - белгілі бір валюта түріндегі ақшаның белгілі бір сомасына берілген, төленетін нақты мерзімі көрсетілетін шартсыз жазбаша айналымдық төлем талабы.
information-realization;['овердрафт'];Овердрафт
information-realization;['опера', 'operă'];Опера
information-realization;['қалам'];Қалам — жазуға, сурет салуға арналған құрал.
information-realization;['диаграмма'];Диаграмма - нақты процестер мен құбылыстардың өзара байланыстарын сипаттайтын сандық көрсеткіштер сызба түрінде кескінделетін нұсқалар.
information-realization;['роман'];Роман — күрделі сюжетті, көбіне қара сөзбен, кейде өлеңмен жазылған кең көлемді эпикалық түр.
information-realization;['лозунг', 'ұран'];Лозунг үндеу, қысқа мерзімді ұсыныстың қысқа формасын білдіреді.
information-realization;['лозунг', 'ұран'];Басқа мағыналар үшін Ұран деген бетті қараңыз.
information-realization;['туынды қаржы құралдары'];Туынды қаржы құралдары - бағасы активтің бағасымен айқындалатын, яғни осы активтің бағасынан туындайтын қаржы нарығының құралдары.
information-realization;['анкеттік әдіс'];Анкеттік әдіс - қоғамдық тұрмыс пен әлеуметтік жағдайды зерттеудің нақтылы социалогиялық әдісінің бірі.
information-realization;['импичмент'];Импичмент – парламент тарапынан жүргізілетін жоғары лауазымды мемлекеттік қызметкерлерді қызметінен тайдыру рәсімі.
information-realization;['рондель'];Рондель
information-realization;['пентатоника'];Пентатоника
information-realization;['пейзаж'];Пейзаж (фр.
information-realization;['синтетизм'];Синтетизм
information-realization;['экспрессионизм'];Экспрессионизм
information-realization;['одиссея'];“Одиссея” – көне грек эпосы.
information-realization;['илиада'];Илиада - грек халқының жыры.
information-realization;['applet'];Applet
information-realization;['фототипия'];Фототипия
information-realization;['азаттық мүсіні'];Азаттық мүсіні
information-realization;['лицензия', 'лицензиялық келісім'];Лицензия (лат.
information-realization;['акт'];Акт
information-realization;['сенімхат'];Сенімхат
information-realization;['декрет'];Декрет -
information-realization;['ресми хат'];Ресми хаттар белгілі бір ортаның атқаратын жұмыстарына байланысты мәселелер жазбаша карастырылады.
information-realization;['энциклика'];Энциклика - [лат.
information-realization;['ондық логарифм'];Ондық логарифм – негізі онға тең логарифм, яғни берілген сан шығуы үшін онның дәрежеленетін дәреже көрсеткіші.
information-realization;['натурал логарифм'];Натурал логарифм – негізі e=2,71826… саны болатын логарифм.
information-realization;['симфония'];Симфония(гр.
information-realization;['ода', 'oda'];Ода (гр.
information-realization;['синоптикалық карта'];Синоптикалық карта, ауа райы картасы — ауа райын белгілі бір мерзім ішінде бақылаудан кейінгі нәтижелер бейнеленетін карта.
information-realization;['мистерия'];Мистерия (грек.
information-realization;['лейтмотив'];Лейтмотив
information-realization;['цилиндрлер блогі'];Цилиндрлер блогі- бірнеше цилиндрлардың бір тұтас байланысуы.
information-realization;['жазу', 'орфография', 'емле'];Орфография
information-realization;['жазу', 'орфография', 'емле'];Жазу — адамның ой-пікірін, басқа адамға хабарлап айтқысы келген сөзін, мағлұматын таңбалар арқылы жеткізуді қамтамасыз ететін белгілер жүйесі.
information-realization;['стенография'];Стенография
information-realization;['сәуле мен көлеңке'];Сәуле мен көлеңке - жарықтың әсеріне байланысты көлемдік форманың бетіне сөулені болу немесе үстіңгі бедерді байқау мүмкіндігін тудыру.
information-realization;['жоқтау', 'дауыс қылу'];Жоқтау немесе элегия
information-realization;['гиперорта'];ГИПЕРОРТА, ГИПЕРМЕДИА - мәтіннен басқа да мәліметтерді көрсететін, гипермәтінге қарағанда кеңейтілген мультимедиалық ақпаратгы экранда көрсетуді ұйымдастыру тәсілі.
information-realization;['дуэт'];Дуэт (итал.
information-realization;['дивертисмент'];Дивертисмент -
information-realization;['соната', 'sonata'];Соната (итал.
information-realization;['сюита'];Сюита (фр.
information-realization;['контрапункт'];Контрапункт
information-realization;['рондо', 'rondó'];Рондо (итал.
information-realization;['кантата', 'оратория'];Кантата – жеке әншілер мен хор, оркестр үшін лирика-эпикалық, салтанатты мазмұнда жазылған тұтас мазмұнды ірі вокалдық-симфониялық шығарма.
information-realization;['кантата', 'оратория'];Оратория (итал.
information-realization;['бекар'];Бекар (фр.
information-realization;['нота жазуы'];Нота жазуы, нотация
information-realization;['санаудың позициялық жүйесі'];’’’Санаудың позициялық жүйесі ’’’ — саны цифрлардан тұратын бедербелгі тізбектесімен ұсынылған бедербелгісі, сондай-ақ бөлшекті ажырату бердербелгісі санның алгебралық таңбасы болып саналатын санау жүйесі.
information-realization;['натюрморт'];Натюрморт
information-realization;['триптих'];Триптих (гр.
information-realization;['миниатюра'];Миниатюра
information-realization;['дәйексөз', 'дәйек сөз', 'цитата'];Дәйек сөз, цитата
information-realization;['ноктюрн'];Ноктюрн (фр.
information-realization;['фотолитография'];Фотолитография немесе оптикалық литография — микроэлектроникадағы литографияның ең көп тараған түрі.
information-realization;['офсет', 'офсеттік баспа'];Офсет (ағыл.
information-realization;['мюзикл'];Мюзикл (ағылш.
information-realization;['санаудың он алтылық жүйесі', 'санаудың оналтылық жүйесі'];Санаудың оналтылық жүйесі — белгіленген негізі бар позициялық жүйе. оның негізіне 0,1,...,9 цифрлары мен A, B, C, D, E, F әріптері пайдаланылады, мұнда A, B, C, D, E, F бедер белгілері 10, 11, 12, 13, 14, 15 сандарына сәйкес келеді.
information-realization;['unix'];UNIX — көп амалды, бірнеше қолданушыларға арналған операциялық жүйе.
information-realization;['кіріспе', 'преамбула'];Тиісті актіні шығаруға себеп болған.
information-realization;['бланк'];Бланк — стандарта тамғасы бар белгілі бір үлгідегі ақпаратты жазуға арналған қағаз тасуыш.
information-realization;['қолданбалы бағдарлама', 'қолданба'];Қолданбалы бағдарлама
information-realization;['жөндеуіш'];Жөндеуіш — көрсетілген шарттарды орындау кезінде жад ұяшықтарының, программа командалары мен процессор регистрлерінің өзгеруін қарап шығуды немесе көрсетілген нүктелерде тоқтауды, із салуды жасақтайтын басқа программаның жұмысына талдау жасауға арналған программа. 2
information-realization;['программаларды түрлендіру'];Программаларды түрлендіру — жүйелілік әдістерді қолдану негізінде алғашқы программалардан жаңа программалар алу.
information-realization;['веб шолғыш', 'браузер', 'веб браузер', 'шолғыш', 'ғаламтор шолғышы'];Вебшолғыш
information-realization;['цилиндрлік проекция', 'цилиндрлік проекциясы'];Цилиндрлік проекциялар - параллельдер параллель түзулер болып, ал меридиандар параллельдерге перпендикуляр тең қашықтықтағы түзулер болып бейнеленетін картографиялық проекциялар.
information-realization;['әңгіме'];Әңгіме, әдебиетте — оқиғаны қара сөзбен баяндайтын шағын көркем шығарма жанры.
information-realization;['том'];Том (Volume) —
information-realization;['бесік жыры'];Бесік жыры — тұрмыс-салт жырларының көне түрінің бірі.
information-realization;['глиссандо', 'glissando'];Глиссандо
information-realization;['сөздік', 'лұғат'];Сөздік — жеке тілдің сөздік құрамының, әлеуметтік топ диалектісінің, жазушы шығармаларының лексикалық жиынтығы. тілдегі сөздерді, сөз тіркестерін, идиомдарды әліпби негізінде я тақырыптық тұрғыдан жүйеге түсіріп, олардың мағынасын ашатын, аудармасын түсіндіретін анықтамалық құралмасы. сөздік кітап болып, басылып шығуы да, қолжазба ретінде көшіріліп, тарауы да мүмкін.
information-realization;['энциклопедия', 'энциклопедиялық сөздік'];Энциклопедия -
