abstract-quality;['personalidade', 'personalidades', 'pessoa', 'temperamento'];Sentir e agir
phenomenon;['seleção natural', 'sobrevivência do mais apto', 'selecção natural', 'teoria da evolução das espécies', 'evolução por selecção natural', 'limitação natural', 'sovrevivência dos mais aptos', 'evolução por seleção natural', 'teoria da evolução por selecção natural', 'a seleção natural', 'sobrevivência do mais forte'];Mecanismo que explica a evolução das espécies proposto por Charles Darwin
phenomenon;['fusão nuclear', 'fusão', 'energia de fusão', 'fusão do hidrogênio', 'fusão do núcleo', 'reacção de fusão nuclear', 'reação de fusão'];Um processo físico no qual dois ou mais núcleos atômicos se unem para formar outro maior.
phenomenon;['capilaridade', 'absorção', 'acção capilar', 'ação capilar'];Propriedade dos fluidos de subir ou descer em tubos muito finos
phenomenon;['reação em cadeia', 'reacção em cadeia'];O fenômeno físico
phenomenon;['torque', 'torção mecânica', 'torção', 'binário', 'momento de alavanca', 'momento de força', 'momento de lavanca', 'momentos e binários', 'torsão mecânica'];Grandeza vetorial da física
phenomenon;['tempestade', 'vendaval', 'tormenta', 'borrasca', 'intempérie', 'danos causados por tempestades', 'tempestades', 'aguaceiro', 'temporal', 'trovoadas', 'tempestade de vento', 'violenta tempestade'];O fenômeno atmosférico
phenomenon;['meiose', 'miose', 'telófase ii', 'anáfase ii', 'anáfase i', 'cromatídeo homólogo', 'diacinese', 'meiótico', 'metafase i', 'metáfase i', 'divisão de redução', 'meiótica'];Fenômeno biológico do qual faz parte o crossover
phenomenon;['radiação gama', 'raio gama', 'raios gama', 'emissão gama', 'fotão gama', 'gamma-ray burst', 'radiação gamma', 'raio gamma', 'raios-gama', 'raios-y', 'raios gamma', 'de raios gama', 'decaimento gama'];Radiação eletromagnética de alta frequência
phenomenon;['raios x', 'raio x', 'radiação x', 'raios-x', 'raio-x', 'raios röntgen', 'de raios-x geração', 'geração de raios-x', 'roentgen ray'];Radiação eletromagnéticas de natureza semelhante à luz visível
phenomenon;['adultério', 'adúltero', 'adúltera', 'adulterio', 'adúlteras', 'fornicação', 'conversa criminosa', 'infidelidade sexual'];A infidelidade conjugal
phenomenon;['calor de fusão', 'entalpia de fusão'];A quantidade de energia necessária para fundir um mol de uma substância ou de um elemento químico.
phenomenon;['fluxo laminar', 'escoamento laminar', 'regime laminar'];Onde existe um mínimo de agitação de várias camadas de um fluido.
phenomenon;['granizo', 'pedra', 'chuva de granizo', 'chuva de pedra', 'chuva de pedras', 'tempestade de granizo', 'chuva-de-pedra', 'saraiva'];Nome também utilizado para descrever o fenómeno do granizo.
phenomenon;['reprodução sexuada', 'reprodução sexual', 'reproducao sexuada', 'sexuada', 'sexuado', 'cruzar', 'mamífero do sexo feminino'];Quando dois organismos vivos contribuem com material genético de modo a dar origem a um novo organismo
phenomenon;['reprodução assexuada', 'assexuada', 'assexuado', 'reprodução assexual', 'agamogenesis'];Quando um organismo vivo dá origem a outros sem necessidade de produção de gâmetas
phenomenon;['ronco', 'ressonar', 'ressono', 'roncos', 'estertores'];Aquele que ronca
phenomenon;['procriação', 'reprodução', 'estratégia reprodutiva', 'fase reprodutiva', 'reprodução humana', 'órgãos reprodutivos', 'autogamia', 'autógamas', 'fatos da vida', 'procriar', 'reproduzir'];O processo biológico através do qual se dá origem a novos organismos de uma espécie
phenomenon;['aglutinação', 'aglutinam', 'aglutinante'];Fenômeno lingüístico.
phenomenon;['precipitação', 'precipitação atmosférica', 'precipitação anual', 'precipitações atmosfericas', 'precipitações atmosféricas', 'hidrometeoros'];Fenómeno meteorológico
phenomenon;['tração', 'tracção', 'fricção adesiva'];Força necessária ao deslocamento de um veículo
phenomenon;['deriva continental', 'teoria da deriva continental', 'argumento geológico', 'deriva dos continentes'];Mais conhecida como "deriva continental".
phenomenon;['inversão térmica', 'investimento', 'inversões térmicas', 'inversão', 'inversão de temperatura'];Uma camada da atmosfera
phenomenon;['metamorfose', 'metamorfose simples', 'pupação', 'metabolismo'];Um processo biológico, que consiste na mudança da forma e estrutura de certos animais.
phenomenon;['tempo', 'clima', 'estado atmosférico', 'fenómeno climático', 'fenômeno climático', 'fenômenos climáticos', 'tempo atmosférico', 'tempo climático', 'tempo meteorológico', 'condições meteorológicas', 'fenómenos meteorológicos', 'vento', 'condição atmosférica', 'condição de tempo', 'condições climáticas'];Uma designação comum para o conjunto de fenômenos meteorológicos em uma determinada região e em um determinado período
phenomenon;['vida', 'vida local', 'vida real', 'vidas'];Uma referência à vida ou às propriedades dos seres vivos | organismo | seres vivos.
phenomenon;['coroa solar', 'coroa branca', 'coroa de fraunhoffer', 'coroa', 'corona', 'coroa do sol'];Nome dado à coroa solar
phenomenon;['chama', 'fogo', 'labareda', 'flama', 'lume', 'ardor', 'chamariz', 'exaltação', 'faísca', 'fervor', 'fogueira', 'fulgor', 'incêndio', 'labaredas', 'lava', 'lavareda', 'luzeiro', 'língua-de-fogo', 'chamas', 'ígneo', 'ardente', 'incêndios'];Ou flama (do latim flamma)
phenomenon;['precipitação', 'precipitado', 'precipitados', 'reacção precipitação'];Fenómeno químico
phenomenon;['craqueamento', 'craqueamento catalítico fluido', 'craqueamento a vapor', 'craqueamento térmico', 'hydrocracker'];Denominação de vários processos químicos que consistem na quebra de grandes moléculas de hidrocarbonetos complexos em moléculas mais simples
phenomenon;['batch', 'processamento batch', '.bat', 'arquivo de lote', 'batch file', 'ficheiros batch', 'ponto bat', 'modo de lote', 'processamento em lote', 'trabalho em lotes'];Arquivo em lotes MS-DOS
phenomenon;['chuva', 'água pluvial', 'chuvas', 'chuva frontal', 'chuva de convecção', 'chuvas convectivas', 'formação da chuva', 'pluviometria', 'pluviosidade', 'precipitação pluviométrica', 'volume pluviométrico', 'tempestade', 'tempestade de chuva'];Um tipo de precipitação meteorológica (precipitação pluviométrica)
phenomenon;['orvalho', 'riço', 'rocio'];Não raramente na superfície de folhas de plantas.
physical-body;['meteoro', 'bólide', 'estrelas cadentes', 'estrela cadente', 'meteoros', 'estrela fugaz'];Fenômeno astronômico
physical-body;['castor', 'alpha geminorum'];Estrela da constelação de Gêmeos
physical-body;['partícula alfa', 'radiação alfa', 'particula alfa', 'partículas alfa', 'raios alfa', 'emissor alfa'];Ou raio alfa, núcleo do átomo de hélio resultante da emissão alfa
physical-body;['fotão', 'fóton', 'fótons', 'foton', 'fotons', 'fotões'];Ou fóton como uma partícula elementar mediadora da força eletromagnética.
physical-body;['nebulosa do caranguejo', 'messier 1', 'ngc 1952'];Uma nebulosa
physical-body;['proton'];Proton 2.
physical-body;['corpúsculo de inclusão', 'corpos de inclusão', 'corpo inclusão', 'inclusão celular'];Em virologia
physical-body;['universo', 'cosmo', 'cosmos', 'mundo', 'criação', 'natureza', 'céu', 'existência', 'galáxia', 'orbe', 'terra', 'espaço', 'kosmos', 'macrocosmo', 'mundo físico', 'universos'];Que designa o universo em sua totalidade
physical-body;['beta persei', 'algol'];Estrela conhecida como Algol.
physical-body;['terra', 'mundo', 'globo', 'globo terreste', 'planeta azul', '⊕', '♁', '🌍', '🌎', '🌏', '🗺', 'estrutura da terra', 'formação e transformação da terra', 'global', 'mundos', 'planeta terra', 'terráqueo', 'terráqueos', 'globo terrestre'];O terceiro planeta do sistema solar.
physical-body;['europa', 'júpiter ii'];Satélite de Júpiter
physical-body;['prócion', 'procyon', 'alfa canis minoris', 'alpha canis minoris', 'procyon b'];Uma estrela
physical-body;['antares', 'alpha scorpii'];A maior estrela da constelação Scorpius.
physical-body;['aldebarã', 'aldebaran', 'alfa tauri', 'alpha tauri', 'cor tauri', 'parilicium'];A estrela mais brilhante da constelação Taurus
physical-body;['vega', 'alpha lyrae'];Uma estrela da constelação de Lyra
physical-endurant;['ente', 'entity', 'seiend', 'seiendes', 'entidade'];Um conceito de filosofia
physical-object;['unidade central de processamento', 'transformador', 'cpu', 'ucp', 'central processing unit', 'unidade de processamento central', 'processador', 'c.p.u.', 'processador central', 'processadores'];Que realiza as instruções de um programa de computador.
physical-object;['pilar', 'pegão', 'coluna', 'cais'];Elemento arquitetônico
physical-object;['bumerangue', 'bumerang', 'bumerangues', 'atirar pau'];Objeto de arremesso
physical-object;['buffer', 'circular buffer', 'armazenamento tampão', 'memória tampão'];Uma região de memória temporária utilizada para escrita e leitura de dados.
physical-object;['eprom', 'uveprom', 'memória eprom', 'memória morta reprogramável', 'apagável memória somente leitura programável'];Erasable and Programable ROM-um tipo de ROM apagável e programável. Memórias EPROM se subdividem em UVEPROM e EEPROM. Ao contrário do que se pensa, uma memória EPROM não pode ser considerada uma memória RAM, pois a grandeza da velocidade de gravação não é a mesma da velocidade de leitura. Os dados permanecem na memória mesmo sem energia.
physical-object;['disco rígido', 'disco duro', 'unidade de disco rígido', 'discos rígidos', 'hdd', 'disco rígido externo', 'hard disk', 'disco rigido', 'hard drive', 'hd externo', 'winchesters', 'armazenamento em disco', 'unidade de disco', 'winchester unidade'];Um componente de computador.
physical-object;['caixa de pandora', 'boceta de pandora'];Um artefato da mitologia grega (conhecido em Portugal como boceta de Pandora)
physical-object;['automóvel', 'carro', 'auto', 'veículo', 'máquina', 'viatura', 'carruagem', 'rolante', 'turismo', 'vagão', 'automóveis', 'automotivo', 'carros', 'veículo automotivo', 'automovel', 'automóveis particulares', 'automático'];Numa caixa de engrenagens dum motor automotivo, para a qual não há razão de giro. Também dito ponto morto (brasileirismo) ou ponto neutro.
physical-object;['rancho', 'refeitório', 'bagunça'];Local de refeição de militares
physical-object;['volante', 'peteca', 'pena'];Objeto projetado por raquetes no badminton
physical-object;['filme fotográfico', 'filme', 'película', 'filme fotografico', 'película fotográfica', 'filme de 35mm', 'filme fotográfico colorido', 'filme negativo', 'formato de filme', 'formatos de filme', 'câmera de filme'];Utilizada em fotografia.
physical-object;['balsa', 'ferry', 'barcaça', 'barcaças', 'ferribote', 'ferry-boat', 'ferryboat', 'ferry boat', 'balsas', 'ferry de passageiros'];Embarcação de fundo chato.
physical-object;['cálice', 'taça', 'copa', 'cálix', 'calice', 'copo'];Utensílio usado para beber líquidos
physical-object;['colar cervical', 'um cervical'];Dispositivo médico.
physical-object;['corneta', 'trombeta', 'trompete', 'berimbau', 'harpa de boca', 'buzina', 'cornet', 'cornetas', 'trompetista', 'piston', 'trompeta', 'trompete piccolo', 'trompetes', 'trumpete', 'trompa', 'trompetista de jazz', 'trompetistas'];Também conhecido como trombeta
physical-object;['ponte pênsil', 'ponte pensil', 'ponte suspensa', 'pontes pênseis', 'pontes suspensas'];O mesmo que ponte suspensa
physical-object;['matadouro', 'abatedouro', 'açougue', 'matadouros', 'animais para abate', 'abatedor', 'magarefes', 'matadouro público'];Ou frigorífico no Brasil
physical-object;['lente grande-angular', 'objetiva grande-angular', 'objetiva olho de peixe', 'lente olho de peixe', 'lente grande angular', 'objetiva olho-de-peixe'];Tipo de objetiva grande-angular utilizada na fotografia.
physical-object;['zoom', 'teleobjetiva', 'zum', 'telefoto', 'lente telefoto', 'objetiva telefoto', 'teleobjectiva', 'lente zoom', 'zoom óptico de'];Tipo de lente fotográfica e cinematográfica de distância focal variável.
physical-object;['bengala de lâmina', 'bengala de lamina', 'cana-de-espada', 'swordstick', 'vara espada'];Estilete, adaga ou espada ocultada dentro de uma bainha similar à uma bengala.
physical-object;['bomba de fragmentação', 'bomba de fragmentacao', 'cluster bombs', 'bombas de fragmentação', 'munições cluster', 'sub-munições', 'submunição', 'submunições'];Com o nome inglês de cluster.
physical-object;['perua', 'camioneta', 'station wagon', 'sw', 'caminhoneta', 'station-wagon', 'carro de propriedade', 'carro', 'estação de vagão', 'praia vagão', 'vagão praia'];Um tipo de automóvel de maior comprimento e volume interno
physical-object;['cadeira de balanço', 'cadeira de balanco', 'cadeia de baloiço', 'cadeira de baloiço'];Tipo de cadeira.
physical-object;['bispo', 'bispos'];Peça do jogo
physical-object;['cavalo', 'xadrez/cavalo', '♘', '♞', 'cavaleiro'];Peça de xadrez
physical-object;['alva'];Um tipo de veste usado na liturgia.
physical-object;['world wide web', 'www', 'rede mundial de computadores', 'site web', 'teia mundial de computadores', 'web', 'rede de alcance mundial', 'webwriting', 'word wide web', 'na web', 'navegar na web', 'web em todo o mundo'];Documentos de hipertexto que são executados através da Internet
physical-object;['giz de cera', 'lápis de cera', 'pastel', 'crayon', 'lápis de cor'];Material escolar bastante utilizado por crianças em fase pré-escolar, constituído essencialmente por parafina
physical-object;['cd-r', 'cd-wo', 'cd gravável', 'disco compacto escrever uma vez'];Um CD gravável
physical-object;['cd-rom', 'cd-roms', 'cd rom', 'cdrom', 'disco compacto de memória só de leitura'];Compact Disk ROM-os discos de armazenamento de dados, também "Apenas de Leitura".
physical-object;['quebra-nozes', 'quebra nozes', 'boneco quebra-nozes'];Utensílio doméstico usado para abrir nozes.
physical-object;['rede de longa distância', 'redes alargadas', 'wan', 'rede de área alargada', 'rede geograficamente distribuída', 'wide area network', 'rede de área ampla', 'rede alargada', 'redes de longa distância'];Wide Area Network em inglês
physical-object;['erlenmeyer', 'enlenmeyer', 'balão de erlenmeyer'];Um tipo de equipamento de laboratório para armazenar produtos químicos
physical-object;['terra', 'massa', 'condutor terra', 'terra elétrico'];Potencial elétrico da superfície da Terra
physical-object;['pista', 'autódromo', 'circuito', 'autodromo', 'pista de corrida', 'corridas de circuito', 'hipódromo', 'pistas', 'pistas de corrida'];Também conhecido como circuito de corrida.
physical-object;['curativo', 'compressa', 'médico curativo'];Aplicado em feridas.
physical-object;['coquetel molotov', 'cocktail molotov', 'coquetéis molotov', 'bomba de gasolina', 'bombas de gasolina'];Uma arma caseira
physical-object;['motoneta', 'lambreta', 'motinha', 'acelera', 'motoreta', 'vespa', 'scooter', 'patinete', 'motorscooter'];Também chamada de motoneta, vespa ou lambreta.
physical-object;['silo', 'silos', 'silo de armazenamento', 'silo de grãos'];Benfeitoria agrícola destinada ao armazenamento produtos agrícolas.
physical-object;['bomba hidráulica', 'bomba', 'bombas', "bomba d'água", 'bomba de combustível', 'bombas hidráulicas', 'bombas de deslocamento positivo', 'bombagem', 'bombas de água', 'bomba a vapor', 'bomba de deslocamento positivo', 'bomba de vapor', 'bomba elétrica'];Elevar, impulsionar ou sugar materiais, líquidos e gasosos
physical-object;['disco de vinil', 'disco', 'vinil', 'discos de vinil', '7" single', 'single 7"', 'long-play', 'long play', 'lp', 'lançado', '12"', '12-inch single', '45 rpm', '7"', '7" vinyl', 'long-playing', 'longplay', 'toca discos', '78 rpm', 'registro fonográfico', '45rpm', '78rpm', '78s', '7 polegadas', 'de 78 rpm', 'de 7 polegadas', 'gravação acústica', 'gravação fonógrafo', 'registro', 'registro de 45', 'vinil único'];Os primeiros discos de música, de acetato e de vinil.
physical-object;['fez', 'tarbush', 'chapéu fez', 'tarbuche'];Chapéu de feltro.
physical-object;['kamikaze', 'camicase', 'kamikazes', 'camicases', 'kamikase', 'tokkotai', 'tokkōtai', 'avião suicida'];Uma palavra japonesa.
physical-object;['tomahawk', 'machado', 'machadinha', 'tomahawk machadinha', 'criticar severamente'];Uma arma dos índios estadunidenses (um tipo de machadinha)
physical-object;['paleta', 'pálete'];Uma peça usualmente feita de madeira, com um orifício para o dedo polegar, sobre a qual se misturam as tintas
physical-object;['eira', 'malhadouro', 'calcadouro'];De dimensões variáveis, onde cereais eram malhados e peneirados depois de colhidos
physical-object;['tampão de poço de visita', 'tampão de bueiro', 'tampão de sarjeta', 'tampa de bueiro'];Cobertura do acesso a um poço de visita.
physical-object;['landau'];Um tipo de carruagem
physical-object;['camisa', 'camisas'];Artigo de vestuário
physical-object;['vestido de casamento', 'vestido de noiva', 'vestidos de noiva'];O vestuário matrimonial
physical-object;['pederneira'];Capaz de produzir faíscas quando percutido ou atritado por peças de metal
physical-object;['martelo', 'martelos'];Uma ferramenta constituída de um cabo, geralmente de madeira, com uma cabeça pesada, geralmente de ferro.
physical-object;['telefone celular', 'celular', 'telemóvel', 'telefone móvel', 'celulares', 'invenção do celular', 'telelé', 'aparelho celular', 'ficktelefon', 'handy', 'mobile phone', 'telefones móveis', 'telefonia móvel', 'telemovel', 'telemóveis', 'telefones celulares', 'telefone', 'comunicação celular', 'comunicação móvel', 'comunicações móveis', 'de telefone celular', 'telefonia celular'];O telefone portátil
physical-object;['volante', 'roda', 'direção'];Também chamada "direção".
physical-object;['lira', 'liras'];Instrumento musical de corda.
physical-object;['capuz', 'capucho', 'capucha'];Cobertura para a cabeça
physical-object;['hospital', 'clínica', 'hospitais', 'administração hospitalar', 'admissão hospitalar', 'centro hospitalar', 'nosocômio', 'nosocômios', 'serviço médico', 'enfermaria', 'distrito hospital geral', 'hospital distrital'];No qual praticam apenas as atividades relacionadas à obstetrícia: partos, acompanhamento pré-natal, UTI neonatal, etc..
physical-object;['volante do motor', 'volante', 'volante de inércia', 'volante de motor', 'volante motor', 'pêndulo'];E contribui para a redução das vibrações e dos esticões provocados pela explosão do carburante
physical-object;['spoiler', 'aerofólio'];Peças móveis instaladas sobre as asas de uma aeronave com o objetivo de quebrar a sua aerodinâmica.
physical-object;['potpourri', 'pot-pourri'];Uma jarra com uma mistura de pétalas de flores secas e especiarias utilizada para perfumar o ar.
physical-object;['frigorífico', 'geladeira', 'refrigerador', 'freezers', 'frigorifico', 'congelador', 'freezer', 'geladeiras', 'geleira', 'frigoríficos'];E geleira em Moçambique e Angola
physical-object;['estoque', 'shiv', 'uma'];Feitas com materiais diversos e não raro com fio precário ou apenas com uma ponta afiada
physical-object;['lâmpada de querosene', 'lâmpada a óleo', 'candeeiro', 'lampião', 'lamparina', 'lâmpada de azeite', 'lampada de querosene', 'lampião a querosene', 'lâmpada de óleo', 'lampada', 'lâmpada de parafina', 'lâmpadas de óleo'];Objeto de iluminação
physical-object;['castelo', 'castelos', 'castelos fortificados', 'castelos medievais', 'castelo-fortaleza', 'castelo medieval'];Com funções defensiva e residencial. De tipo permanente, era geralmente erguido em posição dominante no terreno, próximo a vias de comunicação (terrestres, fluviais ou marítimas), o que facilitava o registro visual das tropas inimigas e as comunicações a grandes distâncias.
physical-object;['diligência', 'diligências'];Muito utilizada no Velho Oeste americano
physical-object;['taça', 'taças', 'copo grande'];De boca larga e pouco fundo
physical-object;['artilharia naval', 'artilharia de bordo', 'artilharia de marinha', 'artilharia embarcada', 'arma naval', 'duplo shotted'];Se referindo à qualquer mecanismo usado para descarregar um grande número de projéteis a partir de um barco
physical-object;['estátua da liberdade', 'a liberdade iluminando o mundo', 'estatua da liberdade'];Em Nova York (Estados Unidos)
physical-object;['lençol'];Tecido usado nas camas
physical-object;['loja de departamentos', 'loja de departamento', 'magazine', 'lojas de departamentos', 'grande armazém', 'lojas de departamento', 'grandes armazéns', 'empório'];Estabelecimento de comércio a retalho com variado género de produtos
physical-object;['estádio', 'arena', 'estádios', 'estádio municipal', 'arenas', 'estádio multi-uso', 'ginásio de esportes', 'estadio', 'arena indoor', 'estádio cúpula', 'estádio esportivo'];Local onde decorrem espectáculos, lutas ou simulações
physical-object;['trem', 'comboio', 'trens', 'cavalo de ferro', 'comboios', 'composição ferroviária', 'caminhos-de-ferro', 'locomotivas', 'composição', 'ferrovia de passageiros', 'trem de ferro', 'trens de passageiros'];Composta por locomotivas, carruagens e outros veículos ferroviários que circulam como um único conjunto, atrelados uns aos outros. Neste sentido, hoje em dia, o termo é usado essencialmente no Brasil. Em Portugal e nos restantes países de Língua Portuguesa, normalmente, é usado o termo" comboio".
physical-object;['rede de área local', 'rede local', 'lan'];Um tipo de rede de computador
physical-object;['bomba hidráulica', 'bomba', 'bombas', "bomba d'água", 'bomba de combustível', 'bombas hidráulicas', 'bombas de deslocamento positivo', 'bombagem', 'bombas de água', 'bomba a vapor', 'bomba de deslocamento positivo', 'bomba de vapor', 'bomba elétrica'];Elevar, impulsionar ou sugar materiais, líquidos e gasosos
physical-object;['cartola', 'chapéu de seda', 'chapéu de vestido', 'ópera chapéu'];A variedade de chapéu
physical-object;['carregador', 'clip', 'carregador tubular', 'cartucho', 'cartucho de clipe', 'clipe', 'revista', 'revista caixa', 'revista tubular', 'suporte do cartucho'];Um artefato utilizado para recarregar cartuchos que alimentam algumas armas de fogo.
physical-object;['pitão', 'esracador', 'piton'];Objeto usado em escalada
physical-object;['pratos', 'prato', 'címbalo', 'címbalos', 'chimbau', 'china', 'prato chinês', 'prato de ataque', 'prato de corte', 'ride'];Instrumento musical de percussão
physical-object;['triângulo', 'ferrinhos', 'musica instrumentos triangulo'];Um instrumento musical de percussão
physical-object;['carregador', 'clip', 'carregador tubular', 'cartucho', 'cartucho de clipe', 'clipe', 'revista', 'revista caixa', 'revista tubular', 'suporte do cartucho'];Um artefato utilizado para recarregar cartuchos que alimentam algumas armas de fogo.
physical-object;['giz', 'cré', 'greda', 'greda branca'];Uma rocha sedimentar constituída essencialmente por carbonato de cálcio
physical-object;['ligadura', 'atadura', 'esparadrapo', 'penso', 'ataduras', 'bandagem'];Uma faixa de tecido que recobre uma ferida, geralmente para fixar curativos.
physical-object;['gol', 'golo', 'área', 'baliza', 'golaço', 'goleira', 'gols', 'os baliza', 'poste da baliza', 'postes'];Termo esportivo.
physical-object;['dólmen', 'cromeleque', 'dolmen', 'cultura dolménica', 'ortóstato', 'anta', 'mamoa', 'orca', 'cromlech', 'cromlechs', 'dolmens', 'mamoas', 'antas', 'hunebed', 'portal túmulo', 'túmulo portal'];Chamados ainda de dólmens
physical-object;['flauta de pã', 'flauta de pan', 'flauta-de-pã', 'zamponha', 'zampoña', 'zamproña', 'syrinx', 'siringe', 'zampronha', 'panpipe', 'flauta pan', 'flautas', 'pandean tubo', 'panflute', 'panpipes'];Um instrumento musical
physical-object;['quebra-mar', 'molhe', 'dique', 'esporão', 'quebra-mares', 'molhes', 'paredão', 'breakwall', 'diques', 'estacada', 'groyne', 'groynes', 'malecón', 'pontão', 'toupeira'];Uma estrutura costeira
physical-object;['casino', 'cassino', 'cassinos', 'casino virtual', 'casinos'];Casa de diversões que atua no ramo de jogos de azar
physical-object;['bebedouro', 'fontanário', 'fontenário', 'bebedoiro', 'bebedor', 'fonte de água', 'borbulhador', 'fonte água'];Fonte em que pessoais ou animais bebem água.
physical-object;['fila', 'sala de espera', 'saladeespera', 'música lounge', 'ultra lounge', 'área de espera', 'área fila'];Pessoas esperando por um bem ou serviço
physical-object;['raio', 'rádio', 'falou', 'raios', 'roda falou'];Componente de alguns tipos de roda
physical-object;['disco compacto', 'compact disc', 'cedê', 'cd', 'cds', 'compact-disc', 'compact disk', 'discos compactos', 'cds de áudio', 'álbum digital'];Meio de armazenamento de dados digitais
physical-object;['prótese dentária', 'dentadura postiça', 'dentaduras', 'dentes falsos'];Uma prótese destinada a substituir a falta de um ou mais dentes
physical-object;['patilhão', 'patilhao', 'centerboard', 'quilha corrediça', 'cair quilha', 'deslizando quilha'];Velejar a contra-vento
physical-object;['conservatório', 'conservatório de música', 'conservatório musical', 'academia música', 'conservatório música', 'de', 'escola de música', 'hochschule für musik'];Música, Dança e Cinema.
physical-object;['escudo', 'escudo heráldico', 'escudo de armas', 'formas', 'formas do escudo', 'inescutcheon'];A parte principal da figura que forma um brasão em heráldica
physical-object;['bacamarte'];Um tipo de espingarda que muitas vezes também é chamada de "trabuco".
physical-object;['banqueta', 'tamborete', 'banco', 'banquinho', 'cadeira'];Sem braços nem espaldar
physical-object;['berlinde', 'bola de gude', 'berlindes', 'bola-de-gude', 'bolinha-de-gude', 'bolinha de gude', 'bolinhas de gude', 'búlica', 'gude', 'bola', 'mármore'];Jogo infantil.
physical-object;['caixa', 'tarola', 'caixa clara', 'snare drum', 'tambor do lado', 'tambor lado', 'tambores snare'];Instrumento musical da família dos membranofones
physical-object;['bomba voadora', 'v-1', 'bomba robô', 'bomba zumbido', 'v-1 bomba voadora', 'v-1 foguete'];Carregando cargas explosivas.
physical-object;['bomba voadora', 'v-1', 'bomba robô', 'bomba zumbido', 'v-1 bomba voadora', 'v-1 foguete'];Criado pelos nazistas na II Guerra Mundial
physical-object;['copo', 'xícara', 'caneca', 'chávena', 'copos', 'taça'];Taça ou vaso covo: utensílio apropriado à deposição de líquido a ser bebido.
physical-object;['lanterna elétrica', 'lanterna'];Abastecido por pilhas
physical-object;['gaita', 'harmónica', 'gaita de boca', 'harmonica', 'harmônica', 'gaita-de-boca', 'gaita blues', 'gaita de beiços', 'gaita de blues', 'harmonicista', 'berimbau', 'harpa', 'harpa de boca', 'harpa boca'];Também conhecido como gaita
physical-object;['alfinete', 'pinos'];Objeto pontiagudo
physical-object;['palito', 'palito de dentes', 'palito de dente', 'palitos'];Usualmente de madeira, que são utilizadas para os mais diversos fins, como palitar os dentes, por exempo
physical-object;['bala dundum', 'bala expansiva', 'dum-dum', 'dumdum', 'dundum', 'projétil dundum', 'dumdum, arma', 'bala dum-dum', 'bala expansão', 'expansão bala'];Tipo de munição de arma de fogo.
physical-object;['globo terrestre', 'globo', 'bola'];Ou uma representação esférica aproximada do Planeta Terra.
physical-object;['bengala', 'bastão', 'bengalas'];Bastão ou cajado para apoio.
physical-object;['barrete', 'birreta', 'barrete cardinalício', 'barrete eclesiástico', 'barrete litúrgico', 'biretum', 'barrete de padre', 'berretta', 'birretta'];Uma peça de vestuário usado em cerimônias litúrgicas.
physical-object;['chapéu de palha', 'chapéu-panamá', 'chapéu-palheta', 'chapéu panamá', 'chapéu de panamá', 'chapeu panama', 'chapéu-do-chile', 'panamá', 'leghorn', 'velejador'];Típico chapéu do Equador.
physical-object;['sarcófago', 'sarcófagos'];Túmulo de pedra onde se deposita um cadáver, geralmente mumificado (antigo Egito)
physical-object;['bateria automotiva', 'bateria carro', 'bateria de automóvel', 'bateria de carro'];A ligação elétrica entre as baterias de dois automóveis, em situação de emergência, para permitir mover o motor de arranque daquele cuja bateria está descarregada
physical-object;['armazém', 'depósito', 'entreposto', 'armazem', 'armazéns', 'casa comercial', 'feitoria', 'loja', 'armazenamento do armazém'];Espaço logístico de armazenagem
physical-object;['antena'];Tudo que possa suportar as velas
physical-object;['rapieira', 'florete', 'estoque', 'espada ropera', 'rapieiras', 'rapier', 'estocada', 'espada', 'estoc', 'floretes'];Com folha triangular ou quadrangular e fio não cortante, a fim de somente a ponta causar ferimentos por perfuração
physical-object;['sequência', 'seqüência', 'episódio', 'sequencia'];Termo usado no cinema, com várias acepções.
physical-object;['chalé', 'chalet', 'chale', 'casa', 'chalés'];Um estilo arquitetônico
physical-object;['andaime', 'andaimes'];A estrutura usada como guia para construir algo
physical-object;['telefone sem fio', 'radiofone'];Telefone sem fios que comunica por meio de ondas de rádio para a sua estação de base
physical-object;['cinema', 'sala de cinema', 'cine', 'sala de projeção', 'cine-teatro', 'salas de cinema', 'cinemas', 'palácio filme', 'palácios de cinema', 'picture palace'];Local onde ocorrem projeções de filmes cinematográficos
physical-object;['prego', 'cravo', 'pregos'];Um objeto constituído de uma haste metálica com uma das pontas afiada.
physical-object;['enxada', 'sacho', 'sachola'];Aço ou alumínio a que se adapta um cabo longo.
physical-object;['regulador de tensão', 'regulador de voltagem'];Em eletrônica
physical-object;['talismã', 'amuleto', 'amuleto da sorte', 'amuletos', 'figa', 'patuá', 'encanto de boa sorte', 'talismãs'];Espécie de amuleto. objeto ao qual se atribuem poderes mágicos de realizar desejos
physical-object;['tubo de raios catódicos', 'crt', 'cinescópio', 'trc', 'tubos de raios catódicos', 'monitor crt'];Em eletrônica
physical-object;['ambulância', 'ambulancia', 'ambulâncias', 'resgate', 'hospital militar móvel'];Designação alternativa de ambulância no Brasil
physical-object;['caldeirão', 'caldeirões'];Para fazer cozinhados em grande quantidade
physical-object;['nártex', 'nartex', 'narthex'];Entrada de um templo cristão
physical-object;['nora', 'del', 'noria'];Aparelho para tirar água
physical-object;['claraboia', 'clarabóia'];Abertura para entrada de luz no alto das construções
physical-object;['ponte', 'ponte ferroviária', 'ponte rodoviária', 'pontes'];Construção para atravesar um rio
